Monday,Friday,Monday_growth,Friday_growth,Growth difference
2016-10-24,2016-10-28,0.68,-0.46,-1.14
2016-10-31,2016-11-04,-0.03,-0.12,-0.09
2016-11-07,2016-11-11,1.19,-0.35,-1.54
2016-11-14,2016-11-18,0.21,0.13,-0.08
2016-11-21,2016-11-25,0.34,0.46,0.12
2016-11-28,2016-12-02,-0.18,-0.08,0.1
2016-12-05,2016-12-09,0.53,0.44,-0.09
2016-12-12,2016-12-16,0.16,-0.08,-0.24
2016-12-19,2016-12-23,0.08,0.07,-0.01
2017-01-09,2017-01-13,-0.04,0.53,0.57
2017-01-23,2017-01-27,-0.29,-0.1,0.19
2017-01-30,2017-02-03,-0.8,0.67,1.47
2017-02-06,2017-02-10,-0.03,0.49,0.52
2017-02-13,2017-02-17,0.49,0.01,-0.48
2017-02-27,2017-03-03,0.28,-0.33,-0.61
2017-03-06,2017-03-10,-0.26,0.34,0.6
2017-03-13,2017-03-17,0.06,-0.04,-0.1
2017-03-20,2017-03-24,-0.3,-0.19,0.11
2017-03-27,2017-03-31,-0.53,0.08,0.61
2017-04-03,2017-04-07,-0.47,0.03,0.5
2017-04-17,2017-04-21,0.09,-0.03,-0.12
2017-04-24,2017-04-28,0.97,0.03,-0.94
2017-05-01,2017-05-05,0.07,0.35,0.28
2017-05-08,2017-05-12,0.14,0.05,-0.09
2017-05-15,2017-05-19,0.38,0.66,0.28
2017-05-22,2017-05-26,0.48,0.04,-0.44
2017-06-05,2017-06-09,0.12,-0.11,-0.23
2017-06-12,2017-06-16,-0.24,0.07,0.31
2017-06-19,2017-06-23,0.82,-0.05,-0.87
2017-06-26,2017-06-30,0.31,0.12,-0.19
2017-07-03,2017-07-07,0.28,0.18,-0.1
2017-07-10,2017-07-14,0.29,0.39,0.1
2017-07-17,2017-07-21,0.2,-0.17,-0.37
2017-07-24,2017-07-28,0.04,-0.12,-0.16
2017-07-31,2017-08-04,0.17,0.15,-0.02
2017-08-07,2017-08-11,0.1,-0.35,-0.45
2017-08-14,2017-08-18,0.76,-0.7,-1.46
2017-08-21,2017-08-25,-0.27,0.2,0.47
2017-08-28,2017-09-01,-0.16,0.34,0.5
2017-09-11,2017-09-15,0.75,0.07,-0.68
2017-09-18,2017-09-22,0.3,-0.12,-0.42
2017-09-25,2017-09-29,-0.19,0.27,0.46
2017-10-02,2017-10-06,0.44,0.01,-0.43
2017-10-09,2017-10-13,0.0,0.12,0.12
2017-10-16,2017-10-20,0.05,0.64,0.59
2017-10-23,2017-10-27,-0.01,0.43,0.44
2017-10-30,2017-11-03,-0.01,0.35,0.36
2017-11-06,2017-11-10,0.27,0.13,-0.14
2017-11-13,2017-11-17,0.05,-0.03,-0.08
2017-11-20,2017-11-24,0.03,0.16,0.13
2017-11-27,2017-12-01,0.01,-0.67,-0.68
2017-12-04,2017-12-08,0.91,0.54,-0.37
2017-12-11,2017-12-15,0.3,0.35,0.05
2017-12-18,2017-12-22,0.79,-0.22,-1.01
2018-01-08,2018-01-12,0.27,0.67,0.4
2018-01-22,2018-01-26,0.58,0.7,0.12
2018-01-29,2018-02-02,0.05,-1.41,-1.46
2018-02-05,2018-02-09,-3.0,-1.79,1.21
2018-02-12,2018-02-16,2.39,1.07,-1.32
2018-02-26,2018-03-02,1.34,-0.87,-2.21
2018-03-05,2018-03-09,1.13,1.37,0.24
