Monday,Friday,Monday_growth,Friday_growth,Growth difference
2015-01-05,2015-01-02,-1.13,-0.61,-0.52
2015-01-12,2015-01-09,-0.75,0.2,-0.95
2015-01-26,2015-01-23,-0.36,0.55,-0.91
2015-02-02,2015-01-30,-0.35,0.07,-0.42
2015-02-09,2015-02-06,-0.59,0.37,-0.96
2015-02-23,2015-02-20,0.41,0.07,0.34
2015-03-02,2015-02-27,0.13,-0.03,0.16
2015-03-09,2015-03-06,-0.3,-0.74,0.44
2015-03-16,2015-03-13,0.76,-0.04,0.8
2015-03-23,2015-03-20,0.36,0.48,-0.12
2015-03-30,2015-03-27,0.91,0.08,0.83
2015-04-13,2015-04-10,0.14,0.64,-0.5
2015-04-20,2015-04-17,0.31,-0.86,1.17
2015-04-27,2015-04-24,-0.02,0.24,-0.26
2015-05-04,2015-05-01,0.84,0.3,0.54
2015-05-11,2015-05-08,0.3,1.01,-0.71
2015-05-18,2015-05-15,0.26,0.45,-0.19
2015-06-01,2015-05-29,-0.09,-0.23,0.14
2015-06-08,2015-06-05,-0.35,-0.46,0.11
2015-06-15,2015-06-12,-0.83,-0.53,-0.3
2015-06-22,2015-06-19,0.27,0.07,0.2
2015-06-29,2015-06-26,-1.17,-0.32,-0.85
2015-07-13,2015-07-10,1.13,0.24,0.89
2015-07-20,2015-07-17,0.18,0.33,-0.15
2015-07-27,2015-07-24,-0.99,-0.77,-0.22
2015-08-03,2015-07-31,-0.55,0.26,-0.81
2015-08-10,2015-08-07,0.86,-0.68,1.54
2015-08-17,2015-08-14,0.22,0.04,0.18
2015-08-24,2015-08-21,-4.31,-2.61,-1.7
2015-08-31,2015-08-28,-0.4,0.92,-1.32
2015-09-14,2015-09-11,0.28,-0.06,0.34
2015-09-21,2015-09-18,-0.19,-1.61,1.42
2015-09-28,2015-09-25,-1.7,0.74,-2.44
2015-10-05,2015-10-02,2.56,0.45,2.11
2015-10-12,2015-10-09,0.04,0.59,-0.55
2015-10-19,2015-10-16,0.07,0.83,-0.76
2015-10-26,2015-10-23,0.09,1.49,-1.4
2015-11-02,2015-10-30,0.32,-0.04,0.36
2015-11-09,2015-11-06,-0.5,-0.32,-0.18
2015-11-16,2015-11-13,0.15,-1.25,1.4
2015-11-23,2015-11-20,-0.07,0.35,-0.42
2015-11-30,2015-11-27,-0.08,-0.04,-0.04
2015-12-07,2015-12-04,0.29,0.43,-0.14
2015-12-14,2015-12-11,-0.98,-1.39,0.41
2015-12-21,2015-12-18,-0.43,-1.75,1.32
2016-01-11,2016-01-08,-1.09,-1.15,0.06
2016-01-25,2016-01-22,-0.11,1.27,-1.38
2016-02-01,2016-01-29,0.87,1.53,-0.66
2016-02-08,2016-02-05,-2.22,-1.1,-1.12
2016-02-22,2016-02-19,1.31,-0.63,1.94
2016-02-29,2016-02-26,-0.48,0.81,-1.29
2016-03-07,2016-03-04,-0.01,0.63,-0.64
2016-03-14,2016-03-11,0.49,1.08,-0.59
2016-03-21,2016-03-18,0.09,0.62,-0.53
2016-04-04,2016-04-01,0.43,-0.15,0.58
2016-04-11,2016-04-08,0.06,0.13,-0.07
2016-04-18,2016-04-15,0.21,-0.15,0.36
2016-04-25,2016-04-22,-0.21,-0.4,0.19
2016-05-02,2016-04-29,0.57,-1.07,1.64
2016-05-09,2016-05-06,0.52,-0.22,0.74
2016-05-16,2016-05-13,0.21,-0.42,0.63
2016-05-23,2016-05-20,0.06,0.74,-0.68
2016-06-06,2016-06-03,0.59,-0.11,0.7
2016-06-13,2016-06-10,-0.55,-0.61,0.06
2016-06-20,2016-06-17,0.85,0.27,0.58
2016-06-27,2016-06-24,-2.74,-1.66,-1.08
2016-07-11,2016-07-08,0.85,0.96,-0.11
2016-07-18,2016-07-15,0.07,-0.05,0.12
2016-07-25,2016-07-22,-0.06,0.09,-0.15
2016-08-01,2016-07-29,0.09,0.18,-0.09
2016-08-08,2016-08-05,0.27,0.56,-0.29
2016-08-15,2016-08-12,0.32,-0.02,0.34
2016-08-22,2016-08-19,0.02,-0.17,0.19
2016-08-29,2016-08-26,0.12,-0.01,0.13
2016-09-12,2016-09-09,-0.34,-1.5,1.16
2016-09-19,2016-09-16,0.28,0.09,0.19
2016-09-26,2016-09-23,-0.79,-0.3,-0.49
2016-10-03,2016-09-30,-0.29,0.32,-0.61
2016-10-10,2016-10-07,0.45,-0.06,0.51
2016-10-17,2016-10-14,-0.52,0.69,-1.21
2016-10-24,2016-10-21,0.68,-0.18,0.86
2016-10-31,2016-10-28,-0.03,-0.46,0.43
2016-11-07,2016-11-04,1.19,-0.12,1.31
2016-11-14,2016-11-11,0.21,-0.35,0.56
2016-11-21,2016-11-18,0.34,0.13,0.21
2016-11-28,2016-11-25,-0.18,0.46,-0.64
2016-12-05,2016-12-02,0.53,-0.08,0.61
2016-12-12,2016-12-09,0.16,0.44,-0.28
2016-12-19,2016-12-16,0.08,-0.08,0.16
2017-01-09,2017-01-06,-0.04,0.31,-0.35
2017-01-23,2017-01-20,-0.29,0.2,-0.49
2017-01-30,2017-01-27,-0.8,-0.1,-0.7
2017-02-06,2017-02-03,-0.03,0.67,-0.7
2017-02-13,2017-02-10,0.49,0.49,0.0
2017-02-27,2017-02-24,0.28,-0.07,0.35
2017-03-06,2017-03-03,-0.26,-0.33,0.07
2017-03-13,2017-03-10,0.06,0.34,-0.28
2017-03-20,2017-03-17,-0.3,-0.04,-0.26
2017-03-27,2017-03-24,-0.53,-0.19,-0.34
2017-04-03,2017-03-31,-0.47,0.08,-0.55
2017-04-10,2017-04-07,0.07,0.03,0.04
2017-04-24,2017-04-21,0.97,-0.03,1.0
2017-05-01,2017-04-28,0.07,0.03,0.04
2017-05-08,2017-05-05,0.14,0.35,-0.21
2017-05-15,2017-05-12,0.38,0.05,0.33
2017-05-22,2017-05-19,0.48,0.66,-0.18
2017-06-05,2017-06-02,0.12,0.5,-0.38
2017-06-12,2017-06-09,-0.24,-0.11,-0.13
2017-06-19,2017-06-16,0.82,0.07,0.75
2017-06-26,2017-06-23,0.31,-0.05,0.36
2017-07-03,2017-06-30,0.28,0.12,0.16
2017-07-10,2017-07-07,0.29,0.18,0.11
2017-07-17,2017-07-14,0.2,0.39,-0.19
2017-07-24,2017-07-21,0.04,-0.17,0.21
2017-07-31,2017-07-28,0.17,-0.12,0.29
2017-08-07,2017-08-04,0.1,0.15,-0.05
2017-08-14,2017-08-11,0.76,-0.35,1.11
2017-08-21,2017-08-18,-0.27,-0.7,0.43
2017-08-28,2017-08-25,-0.16,0.2,-0.36
2017-09-11,2017-09-08,0.75,-0.05,0.8
2017-09-18,2017-09-15,0.3,0.07,0.23
2017-09-25,2017-09-22,-0.19,-0.12,-0.07
2017-10-02,2017-09-29,0.44,0.27,0.17
2017-10-09,2017-10-06,0.0,0.01,-0.01
2017-10-16,2017-10-13,0.05,0.12,-0.07
2017-10-23,2017-10-20,-0.01,0.64,-0.65
2017-10-30,2017-10-27,-0.01,0.43,-0.44
2017-11-06,2017-11-03,0.27,0.35,-0.08
2017-11-13,2017-11-10,0.05,0.13,-0.08
2017-11-20,2017-11-17,0.03,-0.03,0.06
2017-11-27,2017-11-24,0.01,0.16,-0.15
2017-12-04,2017-12-01,0.91,-0.67,1.58
2017-12-11,2017-12-08,0.3,0.54,-0.24
2017-12-18,2017-12-15,0.79,0.35,0.44
2018-01-08,2018-01-05,0.27,0.42,-0.15
2018-01-22,2018-01-19,0.58,0.18,0.4
2018-01-29,2018-01-26,0.05,0.7,-0.65
2018-02-05,2018-02-02,-3.0,-1.41,-1.59
2018-02-12,2018-02-09,2.39,-1.79,4.18
2018-02-26,2018-02-23,1.34,0.6,0.74
2018-03-05,2018-03-02,1.13,-0.87,2.0
2018-03-12,2018-03-09,0.69,1.37,-0.68
2018-03-19,2018-03-16,-1.38,0.13,-1.51
2018-03-26,2018-03-23,0.37,-1.76,2.13
2018-04-09,2018-04-06,0.4,-1.48,1.88
2018-04-16,2018-04-13,0.49,-0.06,0.55
2018-04-23,2018-04-20,-0.26,-0.56,0.3
