,Date,Value,Day of week,Percent change,Month
786,2017-05-15,2399.0,0,0.38,May
787,2017-05-16,2400.91,1,0.08,May
788,2017-05-17,2370.54,2,-1.26,May
789,2017-05-18,2364.23,3,-0.27,May
790,2017-05-19,2379.74,4,0.66,May
791,2017-05-22,2391.19,0,0.48,May
792,2017-05-23,2397.36,1,0.26,May
793,2017-05-24,2401.78,2,0.18,May
794,2017-05-25,2413.36,3,0.48,May
795,2017-05-26,2414.44,4,0.04,May
796,2017-05-30,2412.35,1,-0.09,May
797,2017-05-31,2409.79,2,-0.11,May
798,2017-06-01,2421.8,3,0.5,June
799,2017-06-02,2433.97,4,0.5,June
800,2017-06-05,2436.94,0,0.12,June
801,2017-06-06,2432.16,1,-0.2,June
802,2017-06-07,2430.02,2,-0.09,June
803,2017-06-08,2433.6,3,0.15,June
804,2017-06-09,2430.95,4,-0.11,June
805,2017-06-12,2425.18,0,-0.24,June
806,2017-06-13,2436.39,1,0.46,June
807,2017-06-14,2436.04,2,-0.01,June
808,2017-06-15,2426.24,3,-0.4,June
809,2017-06-16,2428.02,4,0.07,June
810,2017-06-19,2447.81,0,0.82,June
811,2017-06-20,2443.63,1,-0.17,June
812,2017-06-21,2436.48,2,-0.29,June
813,2017-06-22,2437.44,3,0.04,June
814,2017-06-23,2436.26,4,-0.05,June
815,2017-06-26,2443.73,0,0.31,June
816,2017-06-27,2429.77,1,-0.57,June
817,2017-06-28,2435.5,2,0.24,June
818,2017-06-29,2424.22,3,-0.46,June
819,2017-06-30,2427.18,4,0.12,June
820,2017-07-03,2433.93,0,0.28,July
821,2017-07-05,2428.48,2,-0.22,July
822,2017-07-06,2415.99,3,-0.51,July
823,2017-07-07,2420.22,4,0.18,July
824,2017-07-10,2427.14,0,0.29,July
825,2017-07-11,2421.04,1,-0.25,July
826,2017-07-12,2440.76,2,0.81,July
827,2017-07-13,2445.5,3,0.19,July
828,2017-07-14,2455.11,4,0.39,July
829,2017-07-17,2459.99,0,0.2,July
830,2017-07-18,2455.63,1,-0.18,July
831,2017-07-19,2468.84,2,0.54,July
832,2017-07-20,2473.02,3,0.17,July
833,2017-07-21,2468.8,4,-0.17,July
834,2017-07-24,2469.71,0,0.04,July
835,2017-07-25,2478.07,1,0.34,July
836,2017-07-26,2478.32,2,0.01,July
837,2017-07-27,2471.98,3,-0.26,July
838,2017-07-28,2469.1,4,-0.12,July
839,2017-07-31,2473.24,0,0.17,July
840,2017-08-01,2474.82,1,0.06,August
841,2017-08-02,2473.43,2,-0.06,August
842,2017-08-03,2472.44,3,-0.04,August
843,2017-08-04,2476.04,4,0.15,August
844,2017-08-07,2478.42,0,0.1,August
845,2017-08-08,2480.6,1,0.09,August
846,2017-08-09,2468.24,2,-0.5,August
847,2017-08-10,2451.56,3,-0.68,August
848,2017-08-11,2442.97,4,-0.35,August
849,2017-08-14,2461.59,0,0.76,August
850,2017-08-15,2465.26,1,0.15,August
851,2017-08-16,2469.4,2,0.17,August
852,2017-08-17,2447.52,3,-0.89,August
853,2017-08-18,2430.48,4,-0.7,August
854,2017-08-21,2423.96,0,-0.27,August
855,2017-08-22,2444.22,1,0.84,August
856,2017-08-23,2445.16,2,0.04,August
857,2017-08-24,2443.29,3,-0.08,August
858,2017-08-25,2448.09,4,0.2,August
859,2017-08-28,2444.07,0,-0.16,August
860,2017-08-29,2438.69,1,-0.22,August
861,2017-08-30,2452.04,2,0.55,August
862,2017-08-31,2468.83,3,0.68,August
863,2017-09-01,2477.11,4,0.34,September
864,2017-09-05,2459.26,1,-0.72,September
865,2017-09-06,2464.42,2,0.21,September
866,2017-09-07,2464.46,3,0.0,September
867,2017-09-08,2463.26,4,-0.05,September
868,2017-09-11,2481.73,0,0.75,September
869,2017-09-12,2493.57,1,0.48,September
870,2017-09-13,2495.26,2,0.07,September
871,2017-09-14,2494.89,3,-0.01,September
872,2017-09-15,2496.69,4,0.07,September
873,2017-09-18,2504.12,0,0.3,September
874,2017-09-19,2505.52,1,0.06,September
875,2017-09-20,2502.76,2,-0.11,September
876,2017-09-21,2503.08,3,0.01,September
877,2017-09-22,2500.0,4,-0.12,September
878,2017-09-25,2495.28,0,-0.19,September
879,2017-09-26,2499.32,1,0.16,September
880,2017-09-27,2503.83,2,0.18,September
881,2017-09-28,2506.87,3,0.12,September
882,2017-09-29,2513.72,4,0.27,September
883,2017-10-02,2524.82,0,0.44,October
884,2017-10-03,2531.99,1,0.28,October
885,2017-10-04,2536.16,2,0.16,October
886,2017-10-05,2546.27,3,0.4,October
887,2017-10-06,2546.6,4,0.01,October
888,2017-10-09,2546.71,0,0.0,October
889,2017-10-10,2550.04,1,0.13,October
890,2017-10-11,2551.59,2,0.06,October
891,2017-10-12,2551.82,3,0.01,October
892,2017-10-13,2554.87,4,0.12,October
893,2017-10-16,2556.05,0,0.05,October
894,2017-10-17,2557.2,1,0.04,October
895,2017-10-18,2561.89,2,0.18,October
896,2017-10-19,2555.14,3,-0.26,October
897,2017-10-20,2571.5,4,0.64,October
898,2017-10-23,2571.31,0,-0.01,October
899,2017-10-24,2568.88,1,-0.09,October
900,2017-10-25,2555.7,2,-0.51,October
901,2017-10-26,2563.44,3,0.3,October
902,2017-10-27,2574.46,4,0.43,October
903,2017-10-30,2574.14,0,-0.01,October
904,2017-10-31,2575.22,1,0.04,October
905,2017-11-01,2581.66,2,0.25,November
906,2017-11-02,2573.64,3,-0.31,November
907,2017-11-03,2582.6,4,0.35,November
908,2017-11-06,2589.52,0,0.27,November
909,2017-11-07,2590.68,1,0.04,November
910,2017-11-08,2590.24,2,-0.02,November
911,2017-11-09,2576.42,3,-0.53,November
912,2017-11-10,2579.69,4,0.13,November
913,2017-11-13,2581.07,0,0.05,November
914,2017-11-14,2573.11,1,-0.31,November
915,2017-11-15,2565.14,2,-0.31,November
916,2017-11-16,2581.52,3,0.64,November
917,2017-11-17,2580.79,4,-0.03,November
918,2017-11-20,2581.44,0,0.03,November
919,2017-11-21,2595.18,1,0.53,November
920,2017-11-22,2598.08,2,0.11,November
921,2017-11-24,2602.32,4,0.16,November
922,2017-11-27,2602.64,0,0.01,November
923,2017-11-28,2616.56,1,0.53,November
924,2017-11-29,2627.6,2,0.42,November
925,2017-11-30,2645.84,3,0.69,November
926,2017-12-01,2628.07,4,-0.67,December
927,2017-12-04,2652.11,0,0.91,December
928,2017-12-05,2638.22,1,-0.52,December
929,2017-12-06,2629.58,2,-0.33,December
930,2017-12-07,2633.76,3,0.16,December
931,2017-12-08,2647.88,4,0.54,December
932,2017-12-11,2655.9,0,0.3,December
933,2017-12-12,2664.75,1,0.33,December
934,2017-12-13,2667.36,2,0.1,December
935,2017-12-14,2660.05,3,-0.27,December
936,2017-12-15,2669.38,4,0.35,December
937,2017-12-18,2690.44,0,0.79,December
938,2017-12-19,2687.59,1,-0.11,December
939,2017-12-20,2683.56,2,-0.15,December
940,2017-12-21,2687.52,3,0.15,December
941,2017-12-22,2681.74,4,-0.22,December
942,2017-12-26,2680.35,1,-0.05,December
943,2017-12-27,2682.27,2,0.07,December
944,2017-12-28,2685.18,3,0.11,December
945,2017-12-29,2682.86,4,-0.09,December
946,2018-01-02,2689.12,1,0.23,January
947,2018-01-03,2706.07,2,0.63,January
948,2018-01-04,2724.18,3,0.67,January
949,2018-01-05,2735.68,4,0.42,January
950,2018-01-08,2743.06,0,0.27,January
951,2018-01-09,2753.5,1,0.38,January
952,2018-01-10,2743.43,2,-0.37,January
953,2018-01-11,2760.17,3,0.61,January
954,2018-01-12,2778.74,4,0.67,January
955,2018-01-16,2788.09,1,0.34,January
956,2018-01-17,2792.71,2,0.17,January
957,2018-01-18,2799.2,3,0.23,January
958,2018-01-19,2804.2,4,0.18,January
959,2018-01-22,2820.58,0,0.58,January
960,2018-01-23,2836.42,1,0.56,January
961,2018-01-24,2838.89,2,0.09,January
962,2018-01-25,2839.75,3,0.03,January
963,2018-01-26,2859.52,4,0.7,January
964,2018-01-29,2861.05,0,0.05,January
965,2018-01-30,2828.01,1,-1.15,January
966,2018-01-31,2826.15,2,-0.07,January
967,2018-02-01,2824.33,3,-0.06,February
968,2018-02-02,2784.44,4,-1.41,February
969,2018-02-05,2700.78,0,-3.0,February
970,2018-02-06,2647.06,1,-1.99,February
971,2018-02-07,2704.5,2,2.17,February
972,2018-02-08,2632.92,3,-2.65,February
973,2018-02-09,2585.68,4,-1.79,February
974,2018-02-12,2647.53,0,2.39,February
975,2018-02-13,2652.96,1,0.21,February
976,2018-02-14,2675.48,2,0.85,February
977,2018-02-15,2710.66,3,1.31,February
978,2018-02-16,2739.77,4,1.07,February
979,2018-02-20,2722.18,1,-0.64,February
980,2018-02-21,2724.52,2,0.09,February
981,2018-02-22,2714.52,3,-0.37,February
982,2018-02-23,2730.75,4,0.6,February
983,2018-02-26,2767.21,0,1.34,February
984,2018-02-27,2766.68,1,-0.02,February
985,2018-02-28,2737.53,2,-1.05,February
986,2018-03-01,2695.27,3,-1.54,March
987,2018-03-02,2671.78,4,-0.87,March
988,2018-03-05,2701.92,0,1.13,March
989,2018-03-06,2721.67,1,0.73,March
990,2018-03-07,2716.17,2,-0.2,March
991,2018-03-08,2731.55,3,0.57,March
992,2018-03-09,2769.06,4,1.37,March
993,2018-03-12,2788.12,0,0.69,March
994,2018-03-13,2780.29,1,-0.28,March
995,2018-03-14,2760.74,2,-0.7,March
996,2018-03-15,2752.25,3,-0.31,March
997,2018-03-16,2755.91,4,0.13,March
998,2018-03-19,2717.98,0,-1.38,March
999,2018-03-20,2717.14,1,-0.03,March
1000,2018-03-21,2724.46,2,0.27,March
1001,2018-03-22,2668.64,3,-2.05,March
1002,2018-03-23,2621.78,4,-1.76,March
1003,2018-03-26,2631.58,0,0.37,March
1004,2018-03-27,2635.45,1,0.15,March
1005,2018-03-28,2612.86,2,-0.86,March
1006,2018-03-29,2634.4,3,0.82,March
1007,2018-04-02,2596.05,0,-1.46,April
1008,2018-04-03,2597.31,1,0.05,April
1009,2018-04-04,2611.74,2,0.56,April
1010,2018-04-05,2660.83,3,1.88,April
1011,2018-04-06,2621.58,4,-1.48,April
1012,2018-04-09,2632.17,0,0.4,April
1013,2018-04-10,2650.62,1,0.7,April
1014,2018-04-11,2650.34,2,-0.01,April
1015,2018-04-12,2664.27,3,0.53,April
1016,2018-04-13,2662.66,4,-0.06,April
1017,2018-04-16,2675.82,0,0.49,April
1018,2018-04-17,2702.7,1,1.0,April
1019,2018-04-18,2710.56,2,0.29,April
1020,2018-04-19,2692.37,3,-0.67,April
1021,2018-04-20,2677.28,4,-0.56,April
1022,2018-04-23,2670.42,0,-0.26,April
1023,2018-04-24,2650.44,1,-0.75,April
1024,2018-04-25,2628.98,2,-0.81,April
1025,2018-04-26,2661.82,3,1.25,April
1026,2018-04-27,2668.18,4,0.24,April
1027,2018-04-30,2665.48,0,-0.1,April
1028,2018-05-01,2640.34,1,-0.94,May
1029,2018-05-02,2646.28,2,0.22,May
1030,2018-05-03,2615.88,3,-1.15,May
1031,2018-05-04,2643.12,4,1.04,May
1032,2018-05-07,2674.02,0,1.17,May
1033,2018-05-08,2665.77,1,-0.31,May
1034,2018-05-09,2687.7,2,0.82,May
1035,2018-05-10,2715.32,3,1.03,May
1036,2018-05-11,2725.16,4,0.36,May
1037,2018-05-14,2733.78,0,0.32,May
1038,2018-05-15,2710.25,1,-0.86,May
1039,2018-05-16,2719.96,2,0.36,May
1040,2018-05-17,2721.66,3,0.06,May
1041,2018-05-18,2714.34,4,-0.27,May
1042,2018-05-21,2732.44,0,0.67,May
1043,2018-05-22,2732.06,1,-0.01,May
1044,2018-05-23,2721.44,2,-0.39,May
1045,2018-05-24,2719.68,3,-0.06,May
1046,2018-05-25,2721.18,4,0.06,May
1047,2018-05-29,2693.74,1,-1.01,May
1048,2018-05-30,2715.88,2,0.82,May
1049,2018-05-31,2711.59,3,-0.16,May
1050,2018-06-01,2727.81,4,0.6,June
1051,2018-06-04,2744.85,0,0.62,June
1052,2018-06-05,2746.06,1,0.04,June
1053,2018-06-06,2760.42,2,0.52,June
1054,2018-06-07,2770.03,3,0.35,June
1055,2018-06-08,2771.49,4,0.05,June
1056,2018-06-11,2785.19,0,0.49,June
1057,2018-06-12,2784.29,1,-0.03,June
1058,2018-06-13,2783.06,2,-0.04,June
1059,2018-06-14,2782.79,3,-0.01,June
1060,2018-06-15,2772.27,4,-0.38,June
1061,2018-06-18,2766.06,0,-0.22,June
1062,2018-06-19,2754.12,1,-0.43,June
1063,2018-06-20,2769.38,2,0.55,June
1064,2018-06-21,2756.84,3,-0.45,June
1065,2018-06-22,2758.42,4,0.06,June
1066,2018-06-25,2720.8,0,-1.36,June
1067,2018-06-26,2724.26,1,0.13,June
1068,2018-06-27,2722.74,2,-0.06,June
1069,2018-06-28,2708.16,3,-0.54,June
1070,2018-06-29,2730.65,4,0.83,June
1071,2018-07-02,2713.1,0,-0.64,July
1072,2018-07-03,2723.87,1,0.4,July
1073,2018-07-05,2726.92,3,0.11,July
1074,2018-07-06,2748.96,4,0.81,July
1075,2018-07-09,2776.58,0,1.0,July
1076,2018-07-10,2790.91,1,0.52,July
1077,2018-07-11,2778.34,2,-0.45,July
1078,2018-07-12,2790.38,3,0.43,July
1079,2018-07-13,2798.11,4,0.28,July
1080,2018-07-16,2798.55,0,0.02,July
1081,2018-07-17,2801.72,1,0.11,July
1082,2018-07-18,2811.32,2,0.34,July
1083,2018-07-19,2805.91,3,-0.19,July
1084,2018-07-20,2804.86,4,-0.04,July
1085,2018-07-23,2801.88,0,-0.11,July
1086,2018-07-24,2820.56,1,0.67,July
1087,2018-07-25,2832.88,2,0.44,July
1088,2018-07-26,2840.42,3,0.27,July
1089,2018-07-27,2825.76,4,-0.52,July
1090,2018-07-30,2809.92,0,-0.56,July
1091,2018-07-31,2816.26,1,0.23,July
1092,2018-08-01,2815.84,2,-0.01,August
1093,2018-08-02,2813.12,3,-0.1,August
1094,2018-08-03,2833.88,4,0.74,August
1095,2018-08-06,2844.64,0,0.38,August
1096,2018-08-07,2859.68,1,0.53,August
1097,2018-08-08,2857.77,2,-0.07,August
1098,2018-08-09,2857.23,3,-0.02,August
1099,2018-08-10,2834.0,4,-0.81,August
1100,2018-08-13,2831.64,0,-0.08,August
1101,2018-08-14,2834.84,1,0.11,August
1102,2018-08-15,2815.22,2,-0.69,August
1103,2018-08-16,2840.96,3,0.91,August
1104,2018-08-17,2844.68,4,0.13,August
1105,2018-08-20,2855.19,0,0.37,August
1106,2018-08-21,2867.28,1,0.42,August
1107,2018-08-22,2861.8,2,-0.19,August
1108,2018-08-23,2861.4,3,-0.01,August
1109,2018-08-24,2869.26,4,0.27,August
1110,2018-08-27,2891.47,0,0.77,August
1111,2018-08-28,2898.64,1,0.25,August
1112,2018-08-29,2907.45,2,0.3,August
1113,2018-08-30,2903.84,3,-0.12,August
1114,2018-08-31,2899.02,4,-0.17,August
1115,2018-09-04,2892.66,1,-0.22,September
1116,2018-09-05,2885.56,2,-0.25,September
1117,2018-09-06,2879.67,3,-0.2,September
1118,2018-09-07,2873.96,4,-0.2,September
1119,2018-09-10,2881.44,0,0.26,September
1120,2018-09-11,2879.65,1,-0.06,September
1121,2018-09-12,2886.92,2,0.25,September
1122,2018-09-13,2901.58,3,0.51,September
1123,2018-09-14,2902.04,4,0.02,September
1124,2018-09-17,2895.4,0,-0.23,September
1125,2018-09-18,2900.8,1,0.19,September
1126,2018-09-19,2908.09,2,0.25,September
1127,2018-09-20,2927.27,3,0.66,September
1128,2018-09-21,2934.01,4,0.23,September
1129,2018-09-24,2918.21,0,-0.54,September
1130,2018-09-25,2918.82,1,0.02,September
1131,2018-09-26,2917.22,2,-0.05,September
1132,2018-09-27,2918.24,3,0.03,September
1133,2018-09-28,2914.02,4,-0.14,September
1134,2018-10-01,2927.48,0,0.46,October
1135,2018-10-02,2925.4,1,-0.07,October
1136,2018-10-03,2930.61,2,0.18,October
1137,2018-10-04,2901.85,3,-0.98,October
1138,2018-10-05,2889.46,4,-0.43,October
1139,2018-10-08,2875.76,0,-0.47,October
1140,2018-10-09,2884.55,1,0.31,October
1141,2018-10-10,2829.44,2,-1.91,October
1142,2018-10-11,2752.82,3,-2.71,October
1143,2018-10-12,2752.6,4,-0.01,October
1144,2018-10-15,2762.51,0,0.36,October
1145,2018-10-16,2790.18,1,1.0,October
1146,2018-10-17,2799.38,2,0.33,October
1147,2018-10-18,2780.61,3,-0.67,October
1148,2018-10-19,2779.02,4,-0.06,October
1149,2018-10-22,2764.08,0,-0.54,October
1150,2018-10-23,2722.51,1,-1.5,October
1151,2018-10-24,2697.24,2,-0.93,October
1152,2018-10-25,2695.27,3,-0.07,October
1153,2018-10-26,2660.27,4,-1.3,October
1154,2018-10-29,2655.2,0,-0.19,October
1155,2018-10-30,2660.38,1,0.2,October
1156,2018-10-31,2721.14,2,2.28,October
1157,2018-11-01,2725.26,3,0.15,November
1158,2018-11-02,2728.5,4,0.12,November
1159,2018-11-05,2731.1,0,0.1,November
1160,2018-11-06,2746.95,1,0.58,November
1161,2018-11-07,2794.64,2,1.74,November
1162,2018-11-08,2804.87,3,0.37,November
1163,2018-11-09,2779.17,4,-0.92,November
1164,2018-11-12,2749.0,0,-1.09,November
1165,2018-11-13,2734.79,1,-0.52,November
1166,2018-11-14,2716.28,2,-0.68,November
1167,2018-11-15,2703.06,3,-0.49,November
1168,2018-11-16,2729.46,4,0.98,November
1169,2018-11-19,2707.12,0,-0.82,November
1170,2018-11-20,2650.48,1,-2.09,November
1171,2018-11-21,2660.28,2,0.37,November
1172,2018-11-23,2639.32,4,-0.79,November
1173,2018-11-26,2662.16,0,0.87,November
1174,2018-11-27,2669.21,1,0.26,November
1175,2018-11-28,2714.19,2,1.69,November
1176,2018-11-29,2738.34,3,0.89,November
1177,2018-11-30,2746.82,4,0.31,November
1178,2018-12-03,2786.78,0,1.45,December
1179,2018-12-04,2741.56,1,-1.62,December
1180,2018-12-06,2658.84,3,-3.02,December
1181,2018-12-07,2665.84,4,0.26,December
1182,2018-12-10,2615.37,0,-1.89,December
1183,2018-12-11,2647.82,1,1.24,December
1184,2018-12-12,2667.85,2,0.76,December
1185,2018-12-13,2653.73,3,-0.53,December
1186,2018-12-14,2614.46,4,-1.48,December
1187,2018-12-17,2565.84,0,-1.86,December
1188,2018-12-18,2551.35,1,-0.56,December
1189,2018-12-19,2537.12,2,-0.56,December
1190,2018-12-20,2475.4,3,-2.43,December
1191,2018-12-21,2456.48,4,-0.76,December
1192,2018-12-24,2380.72,0,-3.08,December
1193,2018-12-26,2407.17,2,1.11,December
1194,2018-12-27,2443.52,3,1.51,December
1195,2018-12-28,2496.58,4,2.17,December
1196,2018-12-31,2496.03,0,-0.02,December
1197,2019-01-02,2493.48,2,-0.1,January
1198,2019-01-03,2468.55,3,-1.0,January
1199,2019-01-04,2506.2,4,1.53,January
1200,2019-01-07,2545.36,0,1.56,January
1201,2019-01-08,2563.69,1,0.72,January
1202,2019-01-09,2582.1,2,0.72,January
1203,2019-01-10,2579.92,3,-0.08,January
1204,2019-01-11,2586.84,4,0.27,January
1205,2019-01-14,2579.86,0,-0.27,January
1206,2019-01-15,2599.09,1,0.75,January
1207,2019-01-16,2619.22,2,0.77,January
1208,2019-01-17,2625.71,3,0.25,January
1209,2019-01-18,2661.52,4,1.36,January
1210,2019-01-22,2637.58,1,-0.9,January
1211,2019-01-23,2633.02,2,-0.17,January
1212,2019-01-24,2637.1,3,0.15,January
1213,2019-01-25,2664.86,4,1.05,January
1214,2019-01-28,2634.52,0,-1.14,January
1215,2019-01-29,2640.99,1,0.25,January
1216,2019-01-30,2669.39,2,1.08,January
1217,2019-01-31,2693.8,3,0.91,January
1218,2019-02-01,2706.77,4,0.48,February
1219,2019-02-04,2711.87,0,0.19,February
1220,2019-02-05,2731.5,1,0.72,February
1221,2019-02-06,2731.12,2,-0.01,February
1222,2019-02-07,2703.29,3,-1.02,February
1223,2019-02-08,2694.95,4,-0.31,February
1224,2019-02-11,2710.92,0,0.59,February
1225,2019-02-12,2735.4,1,0.9,February
1226,2019-02-13,2755.24,2,0.73,February
1227,2019-02-14,2744.56,3,-0.39,February
1228,2019-02-15,2767.95,4,0.85,February
1229,2019-02-19,2777.31,1,0.34,February
1230,2019-02-20,2781.97,2,0.17,February
1231,2019-02-21,2773.06,3,-0.32,February
1232,2019-02-22,2786.66,4,0.49,February
1233,2019-02-25,2804.24,0,0.63,February
1234,2019-02-26,2796.3,1,-0.28,February
1235,2019-02-27,2785.44,2,-0.39,February
1236,2019-02-28,2788.12,3,0.1,February
1237,2019-03-01,2797.7,4,0.34,March
1238,2019-03-04,2792.27,0,-0.19,March
1239,2019-03-05,2789.7,1,-0.09,March
1240,2019-03-06,2779.48,2,-0.37,March
1241,2019-03-07,2753.17,3,-0.95,March
1242,2019-03-08,2733.2,4,-0.73,March
1243,2019-03-11,2765.8,0,1.19,March
1244,2019-03-12,2792.52,1,0.97,March
1245,2019-03-13,2810.51,2,0.64,March
1246,2019-03-14,2809.23,3,-0.05,March
1247,2019-03-15,2820.76,4,0.41,March
1248,2019-03-18,2828.7,0,0.28,March
1249,2019-03-19,2837.84,1,0.32,March
1250,2019-03-20,2827.98,2,-0.35,March
1251,2019-03-21,2838.84,3,0.38,March
1252,2019-03-22,2823.31,4,-0.55,March
1253,2019-03-25,2797.4,0,-0.92,March
1254,2019-03-26,2816.93,1,0.7,March
1255,2019-03-27,2806.64,2,-0.37,March
1256,2019-03-28,2809.24,3,0.09,March
1257,2019-03-29,2827.63,4,0.65,March
1258,2019-04-01,2859.02,0,1.11,April
1259,2019-04-02,2865.82,1,0.24,April
1260,2019-04-03,2875.21,2,0.33,April
1261,2019-04-04,2874.21,3,-0.03,April
1262,2019-04-05,2888.12,4,0.48,April
1263,2019-04-08,2888.36,0,0.01,April
1264,2019-04-09,2880.1,1,-0.29,April
1265,2019-04-10,2884.42,2,0.15,April
1266,2019-04-11,2887.7,3,0.11,April
1267,2019-04-12,2904.46,4,0.58,April
1268,2019-04-15,2903.04,0,-0.05,April
1269,2019-04-16,2908.38,1,0.18,April
1270,2019-04-17,2906.72,2,-0.06,April
1271,2019-04-18,2900.15,3,-0.23,April
1272,2019-04-22,2902.93,0,0.1,April
1273,2019-04-23,2922.42,1,0.67,April
1274,2019-04-24,2931.44,2,0.31,April
1275,2019-04-25,2922.97,3,-0.29,April
1276,2019-04-26,2928.72,4,0.2,April
1277,2019-04-29,2944.44,0,0.54,April
1278,2019-04-30,2936.16,1,-0.28,April
1279,2019-05-01,2938.74,2,0.09,May
1280,2019-05-02,2916.09,3,-0.77,May
1281,2019-05-03,2938.53,4,0.77,May
1282,2019-05-06,2917.77,0,-0.71,May
1283,2019-05-07,2887.82,1,-1.03,May
1284,2019-05-08,2885.62,2,-0.08,May
1285,2019-05-09,2856.18,3,-1.02,May
1286,2019-05-10,2858.35,4,0.08,May
1287,2019-05-13,2820.81,0,-1.31,May
1288,2019-05-14,2836.33,1,0.55,May
1289,2019-05-15,2836.88,2,0.02,May
1290,2019-05-16,2873.98,3,1.31,May
1291,2019-05-17,2869.86,4,-0.14,May
1292,2019-05-20,2842.58,0,-0.95,May
1293,2019-05-21,2861.45,1,0.66,May
1294,2019-05-22,2858.29,2,-0.11,May
1295,2019-05-23,2821.1,3,-1.3,May
1296,2019-05-24,2830.78,4,0.34,May
1297,2019-05-28,2821.04,1,-0.34,May
1298,2019-05-29,2779.04,2,-1.49,May
1299,2019-05-30,2787.87,3,0.32,May
1300,2019-05-31,2759.75,4,-1.01,May
1301,2019-06-03,2745.94,0,-0.5,June
1302,2019-06-04,2783.56,1,1.37,June
1303,2019-06-05,2814.1,2,1.1,June
1304,2019-06-06,2837.27,3,0.82,June
1305,2019-06-07,2868.92,4,1.12,June
1306,2019-06-10,2895.14,0,0.91,June
1307,2019-06-11,2894.57,1,-0.02,June
1308,2019-06-12,2881.62,2,-0.45,June
1309,2019-06-13,2888.62,3,0.24,June
1310,2019-06-14,2887.04,4,-0.05,June
1311,2019-06-17,2892.28,0,0.18,June
1312,2019-06-18,2918.12,1,0.89,June
1313,2019-06-19,2921.58,2,0.12,June
1314,2019-06-20,2944.78,3,0.79,June
1315,2019-06-21,2955.51,4,0.36,June
1316,2019-06-24,2949.48,0,-0.2,June
1317,2019-06-25,2931.27,1,-0.62,June
1318,2019-06-26,2922.79,2,-0.29,June
1319,2019-06-27,2923.94,3,0.04,June
1320,2019-06-28,2936.52,4,0.43,June
1321,2019-07-01,2965.08,0,0.97,July
1322,2019-07-02,2964.56,1,-0.02,July
1323,2019-07-03,2986.9,2,0.75,July
1324,2019-07-05,2981.0,4,-0.2,July
1325,2019-07-08,2975.42,0,-0.19,July
1326,2019-07-09,2972.67,1,-0.09,July
1327,2019-07-10,2993.8,2,0.71,July
1328,2019-07-11,2995.56,3,0.06,July
1329,2019-07-12,3007.9,4,0.41,July
1330,2019-07-15,3013.28,0,0.18,July
1331,2019-07-16,3008.08,1,-0.17,July
1332,2019-07-17,2994.76,2,-0.44,July
1333,2019-07-18,2985.69,3,-0.3,July
1334,2019-07-19,2990.94,4,0.18,July
1335,2019-07-22,2983.68,0,-0.24,July
1336,2019-07-23,2997.23,1,0.45,July
1337,2019-07-24,3008.2,2,0.37,July
1338,2019-07-25,3006.77,3,-0.05,July
1339,2019-07-26,3020.28,4,0.45,July
1340,2019-07-29,3019.96,0,-0.01,July
1341,2019-07-30,3009.06,1,-0.36,July
1342,2019-07-31,2987.74,2,-0.71,July
1343,2019-08-01,2979.41,3,-0.28,August
1344,2019-08-02,2929.8,4,-1.67,August
1345,2019-08-05,2860.1,0,-2.38,August
1346,2019-08-06,2865.91,1,0.2,August
1347,2019-08-07,2858.94,2,-0.24,August
1348,2019-08-08,2916.6,3,2.02,August
1349,2019-08-09,2917.95,4,0.05,August
1350,2019-08-12,2890.36,0,-0.95,August
1351,2019-08-13,2910.18,1,0.69,August
1352,2019-08-14,2866.9,2,-1.49,August
1353,2019-08-15,2841.09,3,-0.9,August
1354,2019-08-16,2879.18,4,1.34,August
1355,2019-08-19,2922.24,0,1.5,August
1356,2019-08-20,2911.62,1,-0.36,August
1357,2019-08-21,2923.32,2,0.4,August
1358,2019-08-22,2921.8,3,-0.05,August
1359,2019-08-23,2880.99,4,-1.4,August
1360,2019-08-26,2867.64,0,-0.46,August
1361,2019-08-27,2879.69,1,0.42,August
1362,2019-08-28,2871.54,2,-0.28,August
1363,2019-08-29,2918.08,3,1.62,August
1364,2019-08-30,2926.88,4,0.3,August
1365,2019-09-03,2903.12,1,-0.81,September
1366,2019-09-04,2930.35,2,0.94,September
1367,2019-09-05,2973.23,3,1.46,September
1368,2019-09-06,2978.77,4,0.19,September
1369,2019-09-09,2979.41,0,0.02,September
1370,2019-09-10,2968.2,1,-0.38,September
1371,2019-09-11,2988.12,2,0.67,September
1372,2019-09-12,3010.83,3,0.76,September
1373,2019-09-13,3010.12,4,-0.02,September
1374,2019-09-16,2996.43,0,-0.45,September
1375,2019-09-17,2999.97,1,0.12,September
1376,2019-09-18,2993.2,2,-0.23,September
1377,2019-09-19,3012.58,3,0.65,September
1378,2019-09-20,3000.52,4,-0.4,September
1379,2019-09-23,2990.69,0,-0.33,September
1380,2019-09-24,2982.86,1,-0.26,September
1381,2019-09-25,2971.34,2,-0.39,September
1382,2019-09-26,2975.5,3,0.14,September
1383,2019-09-27,2966.42,4,-0.31,September
1384,2019-09-30,2975.46,0,0.3,September
1385,2019-10-01,2965.62,1,-0.33,October
1386,2019-10-02,2899.86,2,-2.22,October
1387,2019-10-03,2883.54,3,-0.56,October
1388,2019-10-04,2936.15,4,1.82,October
1389,2019-10-07,2947.72,0,0.39,October
1390,2019-10-08,2909.06,1,-1.31,October
