Date,Value,Day of week,Percent change
2020-08-17,3383.4,0,0.4
2020-08-18,3382.6,1,-0.02
2020-08-19,3384.6,2,0.06
2020-08-20,3372.74,3,-0.35
2020-08-21,3389.64,4,0.5
2020-08-24,3422.61,0,0.97
2020-08-25,3435.02,1,0.36
2020-08-26,3462.61,2,0.8
2020-08-27,3484.86,3,0.64
2020-08-28,3496.78,4,0.34
2020-08-31,3504.01,0,0.21
2020-09-01,3511.32,1,0.21
2020-09-02,3561.67,2,1.43
2020-09-03,3496.13,3,-1.84
2020-09-04,3414.39,4,-2.34
2020-09-08,3354.62,1,-1.75
2020-09-09,3395.8,2,1.23
2020-09-10,3377.4,3,-0.54
2020-09-11,3339.71,4,-1.12
2020-09-14,3383.24,0,1.3
2020-09-15,3404.36,1,0.62
2020-09-16,3406.68,2,0.07
2020-09-17,3352.0,3,-1.61
2020-09-18,3327.34,4,-0.74
2020-09-21,3257.34,0,-2.1
2020-09-22,3295.63,1,1.18
2020-09-23,3277.96,2,-0.54
2020-09-24,3244.08,3,-1.03
2020-09-25,3267.66,4,0.73
2020-09-28,3346.82,0,2.42
2020-09-29,3342.73,1,-0.12
2020-09-30,3367.02,2,0.73
2020-10-01,3379.28,3,0.36
2020-10-02,3346.4,4,-0.97
2020-10-05,3388.42,0,1.26
2020-10-06,3393.05,1,0.14
2020-10-07,3405.41,2,0.36
2020-10-08,3437.72,3,0.95
2020-10-09,3470.2,4,0.94
2020-10-12,3524.73,0,1.57
2020-10-13,3517.44,1,-0.21
2020-10-14,3504.24,2,-0.38
2020-10-15,3464.98,3,-1.12
2020-10-16,3498.1,4,0.96
2020-10-19,3461.18,0,-1.06
2020-10-20,3456.29,1,-0.14
2020-10-21,3448.96,2,-0.21
2020-10-22,3437.94,3,-0.32
2020-10-23,3453.46,4,0.45
2020-10-26,3403.14,0,-1.46
2020-10-27,3399.11,1,-0.12
2020-10-28,3305.68,2,-2.75
2020-10-29,3300.44,3,-0.16
2020-10-30,3269.44,4,-0.94
2020-11-02,3304.94,0,1.09
2020-11-03,3362.87,1,1.75
2020-11-04,3445.71,2,2.46
2020-11-05,3507.4,3,1.79
2020-11-06,3502.96,4,-0.13
2020-11-09,3596.73,0,2.68
2020-11-10,3534.56,1,-1.73
2020-11-11,3569.08,2,0.98
2020-11-12,3543.8,3,-0.71
2020-11-13,3573.12,4,0.83
2020-11-16,3614.34,0,1.15
2020-11-17,3605.9,1,-0.23
2020-11-18,3593.21,2,-0.35
2020-11-19,3564.53,3,-0.8
2020-11-20,3569.04,4,0.13
2020-11-23,3571.29,0,0.06
2020-11-24,3618.42,1,1.32
2020-11-25,3626.63,2,0.23
2020-11-27,3636.82,4,0.28
2020-11-30,3614.28,0,-0.62
2020-12-01,3662.16,1,1.32
2020-12-02,3657.9,2,-0.12
2020-12-03,3669.95,3,0.33
2020-12-04,3685.07,4,0.41
2020-12-07,3688.14,0,0.08
2020-12-08,3693.64,1,0.15
2020-12-09,3686.46,2,-0.19
2020-12-10,3661.84,3,-0.67
2020-12-11,3649.66,4,-0.33
2020-12-14,3671.73,0,0.6
2020-12-15,3677.46,1,0.16
2020-12-16,3699.92,2,0.61
2020-12-17,3718.0,3,0.49
2020-12-18,3706.27,4,-0.32
2020-12-21,3669.69,0,-0.99
2020-12-22,3687.21,1,0.48
2020-12-23,3700.26,2,0.35
2020-12-24,3696.57,3,-0.1
2020-12-28,3731.77,0,0.95
2020-12-29,3739.72,1,0.21
2020-12-30,3737.42,2,-0.06
2020-12-31,3743.54,3,0.16
2021-01-04,3716.35,0,-0.73
2021-01-05,3716.45,1,0.0
2021-01-06,3744.19,2,0.75
2021-01-07,3788.13,3,1.17
2021-01-08,3805.14,4,0.45
2021-01-11,3803.44,0,-0.04
2021-01-12,3793.65,1,-0.26
2021-01-13,3806.23,2,0.33
2021-01-14,3808.23,3,0.05
2021-01-15,3769.18,4,-1.03
2021-01-19,3792.45,1,0.62
2021-01-20,3837.98,2,1.2
2021-01-21,3853.25,3,0.4
2021-01-22,3841.36,4,-0.31
2021-01-25,3828.2,0,-0.34
2021-01-26,3859.34,1,0.81
2021-01-27,3784.66,2,-1.94
2021-01-28,3793.12,3,0.22
2021-01-29,3736.08,4,-1.5
2021-02-01,3754.97,0,0.51
2021-02-02,3817.46,1,1.66
2021-02-03,3832.1,2,0.38
2021-02-04,3854.54,3,0.59
2021-02-05,3884.74,4,0.78
2021-02-08,3904.18,0,0.5
2021-02-09,3910.5,1,0.16
2021-02-10,3908.22,2,-0.06
2021-02-11,3908.19,3,-0.0
2021-02-12,3921.5,4,0.34
2021-02-16,3937.14,1,0.4
2021-02-17,3917.02,2,-0.51
2021-02-18,3903.5,3,-0.35
2021-02-19,3916.74,4,0.34
2021-02-22,3888.82,0,-0.71
2021-02-23,3850.78,1,-0.98
2021-02-24,3894.12,2,1.13
2021-02-25,3869.53,3,-0.63
2021-02-26,3825.31,4,-1.14
2021-03-01,3878.5,0,1.39
2021-03-02,3887.49,1,0.23
2021-03-03,3846.66,2,-1.05
2021-03-04,3783.5,3,-1.64
2021-03-05,3790.94,4,0.2
2021-03-08,3850.16,0,1.56
2021-03-09,3877.84,1,0.72
2021-03-10,3901.54,2,0.61
2021-03-11,3937.9,3,0.93
2021-03-12,3930.1,4,-0.2
2021-03-15,3946.81,0,0.43
2021-03-16,3967.24,1,0.52
2021-03-17,3959.8,2,-0.19
2021-03-18,3940.24,3,-0.49
2021-03-19,3908.44,4,-0.81
2021-03-22,3934.73,0,0.67
2021-03-23,3925.35,1,-0.24
2021-03-24,3915.58,2,-0.25
2021-03-25,3886.52,3,-0.74
2021-03-26,3947.66,4,1.57
2021-03-29,3962.54,0,0.38
2021-03-30,3956.18,1,-0.16
2021-03-31,3980.7,2,0.62
2021-04-01,4006.7,3,0.65
2021-04-05,4058.93,0,1.3
2021-04-06,4077.18,1,0.45
2021-04-07,4075.72,2,-0.04
2021-04-08,4090.36,3,0.36
2021-04-09,4112.5,4,0.54
2021-04-12,4123.29,0,0.26
2021-04-13,4136.22,1,0.31
2021-04-14,4136.28,2,0.0
2021-04-15,4156.62,3,0.49
2021-04-16,4181.03,4,0.59
2021-04-19,4165.64,0,-0.37
2021-04-20,4138.78,1,-0.64
2021-04-21,4150.69,2,0.29
2021-04-22,4151.63,3,0.02
2021-04-23,4166.48,4,0.36
2021-04-26,4188.27,0,0.52
2021-04-27,4184.78,1,-0.08
2021-04-28,4191.66,2,0.16
2021-04-29,4197.8,3,0.15
2021-04-30,4186.48,4,-0.27
2021-05-03,4198.71,0,0.29
2021-05-04,4153.82,1,-1.07
2021-05-05,4174.33,2,0.49
2021-05-06,4175.01,3,0.02
2021-05-07,4219.84,4,1.07
2021-05-10,4212.26,0,-0.18
2021-05-11,4136.78,1,-1.79
2021-05-12,4095.8,2,-0.99
2021-05-13,4103.28,3,0.18
2021-05-14,4156.35,4,1.29
2021-05-17,4157.3,0,0.02
2021-05-18,4147.57,1,-0.23
2021-05-19,4089.17,2,-1.41
2021-05-20,4147.38,3,1.42
2021-05-21,4170.22,4,0.55
2021-05-24,4189.84,0,0.47
2021-05-25,4197.97,1,0.19
2021-05-26,4193.36,2,-0.11
2021-05-27,4205.58,3,0.29
2021-05-28,4210.96,4,0.13
2021-06-01,4215.85,1,0.12
2021-06-02,4207.82,2,-0.19
2021-06-03,4186.16,3,-0.51
2021-06-04,4219.75,4,0.8
2021-06-07,4224.0,0,0.1
2021-06-08,4222.58,1,-0.03
2021-06-09,4227.92,2,0.13
2021-06-10,4235.04,3,0.17
2021-06-11,4240.32,4,0.12
2021-06-14,4244.83,0,0.11
2021-06-15,4247.76,1,0.07
2021-06-16,4227.17,2,-0.48
2021-06-17,4214.17,3,-0.31
2021-06-18,4184.59,4,-0.7
2021-06-21,4199.82,0,0.36
2021-06-22,4236.56,1,0.87
2021-06-23,4249.02,2,0.29
2021-06-24,4264.12,3,0.36
2021-06-25,4278.64,4,0.34
2021-06-28,4283.41,0,0.11
2021-06-29,4293.78,1,0.24
2021-06-30,4295.2,2,0.03
2021-07-01,4310.7,3,0.36
2021-07-02,4341.02,4,0.7
2021-07-06,4335.42,1,-0.13
2021-07-07,4345.84,2,0.24
2021-07-08,4310.12,3,-0.82
2021-07-09,4350.49,4,0.94
2021-07-12,4375.35,0,0.57
2021-07-13,4379.65,1,0.1
2021-07-14,4378.02,2,-0.04
2021-07-15,4354.86,3,-0.53
2021-07-16,4348.81,4,-0.14
2021-07-19,4264.76,0,-1.93
2021-07-20,4299.44,1,0.81
2021-07-21,4345.42,2,1.07
2021-07-22,4359.96,3,0.33
2021-07-23,4398.19,4,0.88
2021-07-26,4414.09,0,0.36
2021-07-27,4394.44,1,-0.45
2021-07-28,4401.24,2,0.15
2021-07-29,4416.78,3,0.35
2021-07-30,4400.95,4,-0.36
2021-08-02,4403.5,0,0.06
2021-08-03,4398.4,1,-0.12
2021-08-04,4408.2,2,0.22
2021-08-05,4419.31,3,0.25
2021-08-06,4434.94,4,0.35
2021-08-09,4432.07,0,-0.06
2021-08-10,4437.62,1,0.13
2021-08-11,4442.93,2,0.12
2021-08-12,4448.86,3,0.13
2021-08-13,4464.59,4,0.35
2021-08-16,4458.96,0,-0.13
2021-08-17,4439.98,1,-0.43
2021-08-18,4425.96,2,-0.32
2021-08-19,4393.17,3,-0.74
2021-08-20,4425.58,4,0.74
2021-08-23,4470.08,0,1.01
2021-08-24,4487.54,1,0.39
2021-08-25,4493.68,2,0.14
2021-08-26,4482.44,3,-0.25
2021-08-27,4493.72,4,0.25
2021-08-30,4525.56,0,0.71
2021-08-31,4523.6,1,-0.04
2021-09-01,4529.57,2,0.13
2021-09-02,4535.26,3,0.13
2021-09-03,4531.38,4,-0.09
2021-09-07,4524.19,1,-0.16
2021-09-08,4507.87,2,-0.36
2021-09-09,4510.98,3,0.07
2021-09-10,4489.07,4,-0.49
2021-09-13,4469.34,0,-0.44
2021-09-14,4460.57,1,-0.2
2021-09-15,4462.62,2,0.05
2021-09-16,4464.84,3,0.05
2021-09-17,4449.64,4,-0.34
2021-09-20,4354.43,0,-2.14
2021-09-21,4371.42,1,0.39
2021-09-22,4392.09,2,0.47
2021-09-23,4436.08,3,1.0
2021-09-24,4446.7,4,0.24
2021-09-27,4446.74,0,0.0
2021-09-28,4382.93,1,-1.43
2021-09-29,4370.32,2,-0.29
2021-09-30,4344.4,3,-0.59
2021-10-01,4331.85,4,-0.29
2021-10-04,4317.23,0,-0.34
2021-10-05,4339.55,1,0.52
2021-10-06,4328.03,2,-0.27
2021-10-07,4406.85,3,1.82
2021-10-08,4399.12,4,-0.18
2021-10-11,4388.24,0,-0.25
2021-10-12,4358.49,1,-0.68
2021-10-13,4351.4,2,-0.16
2021-10-14,4413.24,3,1.42
2021-10-15,4461.75,4,1.1
2021-10-18,4468.11,0,0.14
2021-10-19,4508.4,1,0.9
2021-10-20,4532.64,2,0.54
2021-10-21,4539.16,3,0.14
2021-10-22,4541.84,4,0.06
2021-10-25,4554.99,0,0.29
2021-10-26,4583.85,1,0.63
2021-10-27,4568.12,2,-0.34
2021-10-28,4580.2,3,0.26
2021-10-29,4587.84,4,0.17
2021-11-01,4607.7,0,0.43
2021-11-02,4624.24,1,0.36
2021-11-03,4642.32,2,0.39
2021-11-04,4672.8,3,0.66
2021-11-05,4699.91,4,0.58
2021-11-08,4704.66,0,0.1
2021-11-09,4689.7,1,-0.32
2021-11-10,4657.85,2,-0.68
2021-11-11,4656.43,3,-0.03
2021-11-12,4669.62,4,0.28
2021-11-15,4685.14,0,0.33
2021-11-16,4697.18,1,0.26
2021-11-17,4692.96,2,-0.09
2021-11-18,4690.79,3,-0.05
2021-11-19,4705.99,4,0.32
2021-11-22,4713.0,0,0.15
2021-11-23,4676.02,1,-0.78
2021-11-24,4681.38,2,0.11
2021-11-26,4625.03,4,-1.2
2021-11-29,4649.1,0,0.52
2021-11-30,4603.01,1,-0.99
