Monday,Monday_value,Day of week_x,Week,Friday,Friday_value,Day of week_y,change,change percent
2016-01-11,325.32865896889405,2,2,2016-01-08,327.5406446988875,6.0,-2.211985729993444,-0.6753316773944046
2016-01-25,362.14444867018193,2,4,2016-01-22,336.96995371157675,6.0,25.17449495860518,7.470842631908015
2016-02-01,327.57084179586536,2,5,2016-01-29,338.2487719399249,6.0,-10.67793014405953,-3.156827468380579
2016-02-08,292.8023275174217,2,6,2016-02-05,318.1144121893892,6.0,-25.31208467196751,-7.956912262402616
2016-02-22,280.14875863952767,2,8,2016-02-19,287.79200431140106,6.0,-7.643245671873387,-2.6558228016658614
2016-02-29,295.12812390013,2,9,2016-02-26,283.9695572264825,6.0,11.158566673647499,3.929493986127493
2016-03-07,396.657847496192,2,10,2016-03-04,371.0783610742774,6.0,25.579486421914623,6.893284304657817
2016-03-14,274.597716747569,2,11,2016-03-11,266.9781532405981,6.0,7.619563506970906,2.8540026269880703
2016-03-21,273.41452474401325,2,12,2016-03-18,279.1597012177156,6.0,-5.745176473702372,-2.0580250117196286
2016-04-04,248.49310906179812,2,14,2016-04-01,253.5847069936904,6.0,-5.091597931892267,-2.007848971751658
2016-04-11,239.15181755744396,2,15,2016-04-08,236.2304226871121,6.0,2.921394870331852,1.2366717364770787
2016-04-18,252.6607774846676,2,16,2016-04-15,256.8880946859681,6.0,-4.227317201300508,-1.6455870430539712
2016-04-25,270.24909128856484,2,17,2016-04-22,266.41370918332666,6.0,3.835382105238182,1.4396339126073083
2016-05-02,368.40723209109655,2,18,2016-04-29,405.2514179833295,6.0,-36.84418589223293,-9.091685866414059
2016-05-09,305.8487943447636,2,19,2016-05-06,308.0249501722004,6.0,-2.176155827436844,-0.7064868693981674
2016-05-16,280.1520839577679,2,20,2016-05-13,281.45032121509854,6.0,-1.2982372573306407,-0.46126693042160793
2016-05-23,253.03292069752248,2,21,2016-05-20,255.89263949115647,6.0,-2.859718793633988,-1.117546326975465
2016-06-06,254.3894106409069,2,23,2016-06-03,247.50680532893853,6.0,6.882605311968376,2.7807741701571955
2016-06-13,167.92882720672029,2,24,2016-06-10,174.8280362864041,6.0,-6.899209079683828,-3.946283002562307
2016-06-20,148.5910446680301,2,25,2016-06-17,142.3298971603415,6.0,6.261147507688605,4.399038875602587
2016-06-27,122.97012845835673,2,26,2016-06-24,128.8123957022308,6.0,-5.842267243874062,-4.535485278434958
2016-07-11,113.28954740713756,2,28,2016-07-08,113.16019538315147,6.0,0.1293520239860868,0.11430876691941994
2016-07-18,107.62211051539644,2,29,2016-07-15,113.94403134075462,6.0,-6.321920825358177,-5.548268523563289
2016-07-25,121.89879945137216,2,30,2016-07-22,130.90614994871402,6.0,-9.00735049734186,-6.8807695443420585
2016-08-01,120.98019784878372,2,31,2016-07-29,109.20378833464774,6.0,11.776409514135977,10.783883685470649
2016-08-08,125.75698092323266,2,32,2016-08-05,123.7532305357116,6.0,2.003750387521066,1.619149963881421
2016-08-15,109.47472263185,2,33,2016-08-12,114.04435630855907,6.0,-4.569633676709074,-4.006891550464318
2016-08-22,103.86532683365516,2,34,2016-08-19,105.65560664739996,6.0,-1.790279813744803,-1.694448473254646
2016-08-29,101.4567842729782,2,35,2016-08-26,103.99349015067952,6.0,-2.5367058777013227,-2.4392929538433683
2016-09-12,93.90075503114733,2,37,2016-09-09,94.3572288199232,6.0,-0.45647378877586675,-0.4837719319280008
2016-09-19,91.69137290587224,2,38,2016-09-16,92.55290555897363,6.0,-0.861532653101392,-0.9308542480629454
2016-09-26,91.03865637004412,2,39,2016-09-23,93.0383509278672,6.0,-1.9996945578230765,-2.149322873718434
2016-10-03,90.65667967578916,2,40,2016-09-30,91.57692948618045,6.0,-0.9202498103912831,-1.004892624763265
2016-10-10,90.56864186047416,2,41,2016-10-07,90.07899792510348,6.0,0.48964393537067963,0.5435716944562327
2016-10-17,85.9769425577282,2,42,2016-10-14,86.65959145038522,6.0,-0.6826488926570278,-0.7877361077196646
2016-10-24,85.66445576699986,2,43,2016-10-21,86.06164897118599,6.0,-0.3971932041861237,-0.46152172185209533
2016-10-31,83.81183231742972,2,44,2016-10-28,84.95526828678987,6.0,-1.143435969360155,-1.3459270889477652
2016-11-07,82.45887482025512,2,45,2016-11-04,82.01599168558691,6.0,0.4428831346682074,0.5399960734072762
2016-11-14,118.6571904435271,2,46,2016-11-11,99.81060486840836,6.0,18.846585575118738,18.88234782262499
2016-11-21,103.66350162179674,2,47,2016-11-18,109.27908131392878,6.0,-5.615579692132044,-5.1387508245974605
2016-11-28,93.052955752346,2,48,2016-11-25,96.18609814367396,6.0,-3.133142391327965,-3.257375495830972
2016-12-05,91.45597564759278,2,49,2016-12-02,91.032912394575,6.0,0.4230632530177729,0.4647365901950258
2016-12-12,92.49744440384433,2,50,2016-12-09,92.15187116946537,6.0,0.3455732343789606,0.37500403409439037
2016-12-19,92.37309112717492,2,51,2016-12-16,94.05160586254884,6.0,-1.6785147353739234,-1.784674190281215
