Date,Close/Last,Open,High,Low
2023-12-29,4769.83,4782.88,4788.43,4751.99
2023-12-28,4783.35,4786.44,4793.3,4780.98
2023-12-27,4781.58,4773.45,4785.39,4768.9
2023-12-26,4774.75,4758.86,4784.72,4758.45
2023-12-22,4754.63,4753.92,4772.94,4736.77
2023-12-21,4746.75,4724.29,4748.71,4708.35
2023-12-20,4698.35,4764.73,4778.01,4697.82
2023-12-19,4768.37,4743.72,4768.69,4743.72
2023-12-18,4740.56,4725.58,4749.52,4725.58
2022-12-30,3839.5,3829.06,3839.85,3800.34
2022-12-29,3849.28,3805.45,3858.19,3805.45
2022-12-28,3783.22,3829.56,3848.32,3780.78
2022-12-27,3829.25,3843.34,3846.65,3813.22
2022-12-23,3844.82,3815.11,3845.8,3797.01
2022-12-22,3822.39,3853.26,3853.26,3764.49
2022-12-21,3878.44,3839.49,3889.82,3839.49
2022-12-20,3821.62,3810.47,3838.24,3795.62
2022-12-19,3817.66,3853.79,3854.86,3800.04
2021-12-31,4766.18,4775.21,4786.83,4765.75
2021-12-30,4778.73,4794.23,4808.93,4775.33
2021-12-29,4793.06,4788.64,4804.06,4778.08
2021-12-28,4786.35,4795.49,4807.02,4780.04
2021-12-27,4791.19,4733.99,4791.49,4733.99
2021-12-23,4725.79,4703.96,4740.74,4703.96
2021-12-22,4696.56,4650.36,4697.67,4645.53
2021-12-21,4649.23,4594.96,4651.14,4583.16
2021-12-20,4568.02,4587.9,4587.9,4531.1
2020-12-31,3756.07,3733.27,3760.2,3726.88
2020-12-30,3732.04,3736.19,3744.63,3730.21
2020-12-29,3727.04,3750.01,3756.12,3723.31
2020-12-28,3735.36,3723.03,3740.51,3723.03
2020-12-24,3703.06,3694.03,3703.82,3689.32
2020-12-23,3690.01,3693.42,3711.24,3689.28
2020-12-22,3687.26,3698.08,3698.26,3676.16
2020-12-21,3694.92,3684.28,3702.9,3636.48
2020-12-18,3709.41,3722.39,3726.7,3685.84
2019-12-31,3230.78,3215.18,3231.72,3212.03
2019-12-30,3221.29,3240.09,3240.92,3216.57
2019-12-27,3240.02,3247.23,3247.93,3234.37
2019-12-26,3239.91,3227.2,3240.08,3227.2
2019-12-24,3223.38,3225.45,3226.43,3220.51
2019-12-23,3224.01,3226.05,3227.78,3222.3
2019-12-20,3221.22,3223.33,3225.65,3216.03
2019-12-19,3205.37,3192.32,3205.48,3192.32
2019-12-18,3191.14,3195.21,3198.48,3191.14
2018-12-31,2506.85,2498.94,2509.24,2482.82
2018-12-28,2485.74,2498.77,2520.27,2472.89
2018-12-27,2488.83,2442.5,2489.1,2397.94
2018-12-26,2467.7,2363.12,2467.76,2346.58
2018-12-24,2351.1,2400.56,2410.34,2351.1
2018-12-21,2416.62,2465.38,2504.41,2408.55
2018-12-20,2467.42,2496.77,2509.63,2441.18
2018-12-19,2506.96,2547.05,2585.29,2488.96
2018-12-18,2546.16,2559.9,2573.99,2528.71
2017-12-29,2673.61,2689.15,2692.12,2673.61
2017-12-28,2687.54,2686.1,2687.66,2682.69
2017-12-27,2682.62,2682.1,2685.64,2678.91
2017-12-26,2680.5,2679.09,2682.74,2677.96
2017-12-22,2683.34,2684.22,2685.35,2678.13
2017-12-21,2684.57,2683.02,2692.64,2682.4
2017-12-20,2679.25,2688.18,2691.01,2676.11
2017-12-19,2681.47,2692.71,2694.44,2680.74
2017-12-18,2690.16,2685.92,2694.97,2685.92
2016-12-30,2238.83,2251.61,2253.58,2233.62
2016-12-29,2249.26,2249.5,2254.51,2244.56
2016-12-28,2249.92,2270.23,2271.31,2249.11
2016-12-27,2268.88,2266.23,2273.82,2266.15
2016-12-23,2263.79,2260.25,2263.79,2258.84
2016-12-22,2260.96,2262.93,2263.18,2256.08
2016-12-21,2265.18,2270.54,2271.23,2265.15
2016-12-20,2270.76,2266.5,2272.56,2266.14
2016-12-19,2262.53,2259.24,2267.47,2258.21
2015-12-31,2043.94,2060.59,2062.54,2043.62
2015-12-30,2063.36,2077.34,2077.34,2061.97
2015-12-29,2078.36,2060.54,2081.56,2060.54
2015-12-28,2056.5,2057.77,2057.77,2044.2
2015-12-25,2060.99,0.0,0.0,0.0
2015-12-24,2060.99,2063.52,2067.36,2058.73
2015-12-23,2064.29,2042.2,2064.73,2042.2
2015-12-22,2038.97,2023.15,2042.74,2020.49
2015-12-21,2021.15,2010.27,2022.9,2005.93
2015-12-18,2005.55,2040.81,2040.81,2005.33
2014-12-31,2058.9,2082.11,2085.58,2057.94
2014-12-30,2080.35,2088.49,2088.49,2079.53
2014-12-29,2090.57,2087.63,2093.55,2085.75
2014-12-26,2088.77,2084.3,2092.7,2084.3
2014-12-25,2081.88,0.0,0.0,0.0
2014-12-24,2081.88,2083.25,2087.56,2081.86
2014-12-23,2082.17,2081.48,2086.73,2079.77
2014-12-22,2078.54,2069.28,2078.76,2069.28
2014-12-19,2070.65,2061.04,2077.85,2061.03
2014-12-18,2061.23,2018.98,2061.23,2018.98
