Date,Value,Day of week,Percent change
1980-12-31,135.52,2,
1980-12-30,135.27,1,-0.18
1980-12-29,135.94,0,0.5
1980-12-26,136.11,4,0.13
1980-12-24,135.35,2,-0.56
1980-12-23,135.74,1,0.29
1980-12-22,134.78,0,-0.71
1980-12-19,133.39,4,-1.03
1980-12-18,133.89,3,0.37
1980-12-17,131.9,2,-1.49
1980-12-16,129.78,1,-1.61
1980-12-15,129.99,0,0.16
1980-12-12,128.56,4,-1.1
1980-12-11,127.02,3,-1.2
1980-12-10,129.96,2,2.31
1980-12-09,130.34,1,0.29
1980-12-08,131.45,0,0.85
1980-12-05,134.64,4,2.43
1980-12-04,136.74,3,1.56
1980-12-03,136.76,2,0.01
1980-12-02,136.24,1,-0.38
1980-12-01,138.7,0,1.81
1980-11-28,140.27,4,1.13
1980-11-26,140.28,2,0.01
1980-11-25,139.12,1,-0.83
1980-11-24,137.86,0,-0.91
1980-11-21,139.67,4,1.31
1980-11-20,139.51,3,-0.11
1980-11-19,139.91,2,0.29
1980-11-18,139.42,1,-0.35
1980-11-17,136.68,0,-1.97
1980-11-14,137.04,4,0.26
1980-11-13,135.67,3,-1.0
1980-11-12,133.23,2,-1.8
1980-11-11,130.89,1,-1.76
1980-11-10,129.35,0,-1.18
1980-11-07,128.91,4,-0.34
1980-11-06,129.86,3,0.74
1980-11-05,131.94,2,1.6
1980-11-03,128.56,0,-2.56
1980-10-31,126.77,4,-1.39
1980-10-30,127.24,3,0.37
1980-10-29,128.49,2,0.98
1980-10-28,127.61,1,-0.68
1980-10-27,128.64,0,0.81
1980-10-24,129.3,4,0.51
1980-10-23,130.7,3,1.08
1980-10-22,131.8,2,0.84
1980-10-21,132.39,1,0.45
1980-10-20,131.62,0,-0.58
1980-10-17,131.64,4,0.02
1980-10-16,134.2,3,1.94
1980-10-15,132.8,2,-1.04
1980-10-14,132.48,1,-0.24
1980-10-13,130.89,0,-1.2
1980-10-10,130.86,4,-0.02
1980-10-09,131.54,3,0.52
1980-10-08,131.61,2,0.05
1980-10-07,131.55,1,-0.05
1980-10-06,130.73,0,-0.62
1980-10-03,129.06,4,-1.28
1980-10-02,127.43,3,-1.26
1980-10-01,125.8,2,-1.28
1980-09-30,124.82,1,-0.78
1980-09-29,124.22,0,-0.48
1980-09-26,126.78,4,2.06
1980-09-25,129.83,3,2.41
1980-09-24,129.84,2,0.01
1980-09-23,130.73,1,0.69
1980-09-22,129.08,0,-1.26
1980-09-19,128.9,4,-0.14
1980-09-18,129.07,3,0.13
1980-09-17,128.1,2,-0.75
1980-09-16,126.46,1,-1.28
1980-09-15,125.01,0,-1.15
1980-09-12,125.74,4,0.58
1980-09-11,125.34,3,-0.32
1980-09-10,124.78,2,-0.45
1980-09-09,123.23,1,-1.24
1980-09-08,124.48,0,1.01
1980-09-05,125.08,4,0.48
1980-09-04,126.4,3,1.06
1980-09-03,124.72,2,-1.33
1980-09-02,123.0,1,-1.38
1980-08-29,122.05,4,-0.77
1980-08-28,122.76,3,0.58
1980-08-27,123.96,2,0.98
1980-08-26,125.34,1,1.11
1980-08-25,125.3,0,-0.03
1980-08-22,126.38,4,0.86
1980-08-21,124.8,3,-1.25
1980-08-20,123.09,2,-1.37
1980-08-19,123.1,1,0.01
1980-08-18,124.05,0,0.77
1980-08-15,127.06,4,2.43
1980-08-14,124.15,3,-2.29
1980-08-13,125.08,2,0.75
1980-08-12,124.73,1,-0.28
1980-08-11,124.08,0,-0.52
1980-08-08,124.02,4,-0.05
1980-08-07,122.58,3,-1.16
1980-08-06,120.98,2,-1.31
1980-08-05,121.01,1,0.02
1980-08-04,120.52,0,-0.4
1980-08-01,121.22,4,0.58
1980-07-31,120.87,3,-0.29
1980-07-30,122.54,2,1.38
1980-07-29,121.88,1,-0.54
1980-07-28,120.9,0,-0.8
1980-07-25,120.95,4,0.04
1980-07-24,121.9,3,0.79
1980-07-23,122.1,2,0.16
1980-07-22,122.64,1,0.44
1980-07-21,122.0,0,-0.52
1980-07-18,122.04,4,0.03
1980-07-17,120.62,3,-1.16
1980-07-16,119.71,2,-0.75
1980-07-15,120.2,1,0.41
1980-07-14,118.91,0,-1.07
1980-07-11,117.34,4,-1.32
1980-07-10,117.48,3,0.12
1980-07-09,118.31,2,0.71
1980-07-08,118.09,1,-0.19
1980-07-07,117.9,0,-0.16
1980-07-03,116.64,3,-1.07
1980-07-02,115.4,2,-1.06
1980-07-01,114.5,1,-0.78
1980-06-30,115.96,0,1.28
1980-06-27,115.96,4,0.0
1980-06-26,116.78,3,0.71
1980-06-25,116.22,2,-0.48
1980-06-24,114.76,1,-1.26
1980-06-23,114.32,0,-0.38
1980-06-20,114.01,4,-0.27
1980-06-19,115.58,3,1.38
1980-06-18,115.52,2,-0.05
1980-06-17,115.79,1,0.23
1980-06-16,115.79,0,0.0
1980-06-13,115.8,4,0.01
1980-06-12,115.65,3,-0.13
1980-06-11,115.43,2,-0.19
1980-06-10,114.34,1,-0.94
1980-06-09,113.6,0,-0.65
1980-06-06,113.06,4,-0.48
1980-06-05,113.14,3,0.07
1980-06-04,111.84,2,-1.15
1980-06-03,110.7,1,-1.02
1980-06-02,111.1,0,0.36
1980-05-30,110.21,4,-0.8
1980-05-29,111.25,3,0.94
1980-05-28,111.56,2,0.28
1980-05-27,111.32,1,-0.22
1980-05-23,110.19,4,-1.02
1980-05-22,108.54,3,-1.5
1980-05-21,107.43,2,-1.02
1980-05-20,107.62,1,0.18
1980-05-19,107.67,0,0.05
1980-05-16,107.35,4,-0.3
1980-05-15,106.99,3,-0.34
1980-05-14,106.85,2,-0.13
1980-05-13,106.3,1,-0.51
1980-05-12,104.78,0,-1.43
1980-05-09,104.72,4,-0.06
1980-05-08,106.13,3,1.35
1980-05-07,107.18,2,0.99
1980-05-06,106.25,1,-0.87
1980-05-05,106.38,0,0.12
1980-05-02,105.58,4,-0.75
1980-05-01,105.46,3,-0.11
1980-04-30,106.29,2,0.79
1980-04-29,105.86,1,-0.4
1980-04-28,105.64,0,-0.21
1980-04-25,105.16,4,-0.45
1980-04-24,104.4,3,-0.72
1980-04-23,103.73,2,-0.64
1980-04-22,103.43,1,-0.29
1980-04-21,99.8,0,-3.51
1980-04-18,100.55,4,0.75
1980-04-17,101.05,3,0.5
1980-04-16,101.54,2,0.48
1980-04-15,102.63,1,1.07
1980-04-14,102.84,0,0.2
1980-04-11,103.79,4,0.92
1980-04-10,104.08,3,0.28
1980-04-09,103.11,2,-0.93
1980-04-08,101.2,1,-1.85
1980-04-07,100.19,0,-1.0
1980-04-03,102.15,3,1.96
1980-04-02,102.68,2,0.52
1980-04-01,102.18,1,-0.49
1980-03-31,102.09,0,-0.09
1980-03-28,100.68,4,-1.38
1980-03-27,98.22,3,-2.44
1980-03-26,98.68,2,0.47
1980-03-25,99.19,1,0.52
1980-03-24,99.28,0,0.09
1980-03-21,102.31,4,3.05
1980-03-20,103.12,3,0.79
1980-03-19,104.31,2,1.15
1980-03-18,104.1,1,-0.2
1980-03-17,102.26,0,-1.77
1980-03-14,105.43,4,3.1
1980-03-13,105.62,3,0.18
1980-03-12,106.87,2,1.18
1980-03-11,107.78,1,0.85
1980-03-10,106.51,0,-1.18
1980-03-07,106.9,4,0.37
1980-03-06,108.65,3,1.64
1980-03-05,111.13,2,2.28
1980-03-04,112.78,1,1.48
1980-03-03,112.5,0,-0.25
1980-02-29,113.66,4,1.03
1980-02-28,112.35,3,-1.15
1980-02-27,112.38,2,0.03
1980-02-26,113.98,1,1.42
1980-02-25,113.33,0,-0.57
1980-02-22,115.04,4,1.51
1980-02-21,115.28,3,0.21
1980-02-20,116.47,2,1.03
1980-02-19,114.6,1,-1.61
1980-02-15,115.41,4,0.71
1980-02-14,116.72,3,1.14
1980-02-13,118.44,2,1.47
1980-02-12,117.9,1,-0.46
1980-02-11,117.12,0,-0.66
1980-02-08,117.95,4,0.71
1980-02-07,116.28,3,-1.42
1980-02-06,115.72,2,-0.48
1980-02-05,114.66,1,-0.92
1980-02-04,114.37,0,-0.25
1980-02-01,115.12,4,0.66
1980-01-31,114.16,3,-0.83
1980-01-30,115.2,2,0.91
1980-01-29,114.07,1,-0.98
1980-01-28,114.85,0,0.68
1980-01-25,113.61,4,-1.08
1980-01-24,113.7,3,0.08
1980-01-23,113.44,2,-0.23
1980-01-22,111.51,1,-1.7
1980-01-21,112.1,0,0.53
1980-01-18,111.07,4,-0.92
1980-01-17,110.7,3,-0.33
1980-01-16,111.05,2,0.32
1980-01-15,111.14,1,0.08
1980-01-14,110.38,0,-0.68
1980-01-11,109.92,4,-0.42
1980-01-10,109.89,3,-0.03
1980-01-09,109.05,2,-0.76
1980-01-08,108.95,1,-0.09
1980-01-07,106.81,0,-1.96
1980-01-04,106.52,4,-0.27
1980-01-03,105.22,3,-1.22
1980-01-02,105.76,2,0.51
