Date,Value,Day of week,Percent change
1990-12-31,328.86,0,
1990-12-28,327.98,4,-0.27
1990-12-27,329.64,3,0.51
1990-12-26,330.79,2,0.35
1990-12-24,330.46,0,-0.1
1990-12-21,331.3,4,0.25
1990-12-20,328.84,3,-0.74
1990-12-19,330.1,2,0.38
1990-12-18,328.09,1,-0.61
1990-12-17,325.64,0,-0.75
1990-12-14,327.25,4,0.49
1990-12-13,329.67,3,0.74
1990-12-12,328.4,2,-0.39
1990-12-11,327.27,1,-0.34
1990-12-10,327.56,0,0.09
1990-12-07,327.89,4,0.1
1990-12-06,331.18,3,1.0
1990-12-05,327.79,2,-1.02
1990-12-04,324.37,1,-1.04
1990-12-03,323.56,0,-0.25
1990-11-30,319.22,4,-1.34
1990-11-29,316.49,3,-0.86
1990-11-28,318.79,2,0.73
1990-11-27,317.22,1,-0.49
1990-11-26,314.0,0,-1.02
1990-11-23,316.18,4,0.69
1990-11-21,314.28,2,-0.6
1990-11-20,317.32,1,0.97
1990-11-19,318.26,0,0.3
1990-11-16,316.9,4,-0.43
1990-11-15,318.26,3,0.43
1990-11-14,319.47,2,0.38
1990-11-13,318.37,1,-0.34
1990-11-12,316.75,0,-0.51
1990-11-09,310.7,4,-1.91
1990-11-08,307.4,3,-1.06
1990-11-07,308.71,2,0.43
1990-11-06,313.1,1,1.42
1990-11-05,313.01,0,-0.03
1990-11-02,309.41,4,-1.15
1990-11-01,304.44,3,-1.61
1990-10-31,304.52,2,0.03
1990-10-30,301.9,1,-0.86
1990-10-29,304.05,0,0.71
1990-10-26,307.44,4,1.11
1990-10-25,311.7,3,1.39
1990-10-24,312.12,2,0.13
1990-10-23,313.56,1,0.46
1990-10-22,313.15,0,-0.13
1990-10-19,309.11,4,-1.29
1990-10-18,302.24,3,-2.22
1990-10-17,299.64,2,-0.86
1990-10-16,301.23,1,0.53
1990-10-15,300.6,0,-0.21
1990-10-12,298.45,4,-0.72
1990-10-11,297.98,3,-0.16
1990-10-10,302.82,2,1.62
1990-10-09,309.28,1,2.13
1990-10-08,313.26,0,1.29
1990-10-05,310.27,4,-0.95
1990-10-04,311.0,3,0.24
1990-10-03,313.48,2,0.8
1990-10-02,317.32,1,1.22
1990-10-01,310.5,0,-2.15
1990-09-28,301.02,4,-3.05
1990-09-27,303.29,3,0.75
1990-09-26,305.66,2,0.78
1990-09-25,306.25,1,0.19
1990-09-24,307.45,0,0.39
1990-09-21,310.08,4,0.86
1990-09-20,313.58,3,1.13
1990-09-19,317.8,2,1.35
1990-09-18,316.56,1,-0.39
1990-09-17,316.63,0,0.02
1990-09-14,316.7,4,0.02
1990-09-13,320.28,3,1.13
1990-09-12,321.08,2,0.25
1990-09-11,320.89,1,-0.06
1990-09-10,323.42,0,0.79
1990-09-07,321.94,4,-0.46
1990-09-06,321.88,3,-0.02
1990-09-05,322.76,2,0.27
1990-09-04,321.1,1,-0.51
1990-08-31,319.58,4,-0.47
1990-08-30,321.2,3,0.51
1990-08-29,323.35,2,0.67
1990-08-28,321.23,1,-0.66
1990-08-27,317.31,0,-1.22
1990-08-24,308.91,4,-2.65
1990-08-23,311.56,3,0.86
1990-08-22,320.35,2,2.82
1990-08-21,323.64,1,1.03
1990-08-20,328.48,0,1.5
1990-08-17,328.51,4,0.01
1990-08-16,336.22,3,2.35
1990-08-15,340.65,2,1.32
1990-08-14,339.08,1,-0.46
1990-08-13,335.45,0,-1.07
1990-08-10,337.08,4,0.49
1990-08-09,339.06,3,0.59
1990-08-08,337.02,2,-0.6
1990-08-07,335.42,1,-0.47
1990-08-06,339.06,0,1.09
1990-08-03,344.84,4,1.7
1990-08-02,352.62,3,2.26
1990-08-01,355.58,2,0.84
1990-07-31,355.72,1,0.04
1990-07-30,353.35,0,-0.67
1990-07-27,354.04,4,0.2
1990-07-26,355.71,3,0.47
1990-07-25,356.16,2,0.13
1990-07-24,353.78,1,-0.67
1990-07-23,355.85,0,0.59
1990-07-20,364.11,4,2.32
1990-07-19,363.3,3,-0.22
1990-07-18,365.24,2,0.53
1990-07-17,367.2,1,0.54
1990-07-16,368.54,0,0.36
1990-07-13,367.56,4,-0.27
1990-07-12,363.02,3,-1.24
1990-07-11,358.86,2,-1.15
1990-07-10,358.08,1,-0.22
1990-07-09,359.08,0,0.28
1990-07-06,356.83,4,-0.63
1990-07-05,357.51,3,0.19
1990-07-03,360.08,1,0.72
1990-07-02,358.56,0,-0.42
1990-06-29,358.2,4,-0.1
1990-06-28,356.38,3,-0.51
1990-06-27,353.56,2,-0.79
1990-06-26,353.97,1,0.12
1990-06-25,354.16,0,0.05
1990-06-22,359.26,4,1.44
1990-06-21,359.26,3,0.0
1990-06-20,358.46,2,-0.22
1990-06-19,357.54,1,-0.26
1990-06-18,359.9,0,0.66
1990-06-15,361.92,4,0.56
1990-06-14,363.27,3,0.37
1990-06-13,365.8,2,0.7
1990-06-12,364.21,1,-0.43
1990-06-11,359.66,0,-1.25
1990-06-08,360.58,4,0.26
1990-06-07,363.76,3,0.88
1990-06-06,365.53,2,0.49
1990-06-05,367.14,1,0.44
1990-06-04,365.14,0,-0.54
1990-06-01,362.36,4,-0.76
1990-05-31,361.04,3,-0.36
1990-05-30,361.13,2,0.02
1990-05-29,357.6,1,-0.98
1990-05-25,356.36,4,-0.35
1990-05-24,358.72,3,0.66
1990-05-23,358.14,2,-0.16
1990-05-22,358.29,1,0.04
1990-05-21,356.42,0,-0.52
1990-05-18,353.58,4,-0.8
1990-05-17,355.46,3,0.53
1990-05-16,353.32,2,-0.6
1990-05-15,353.96,1,0.18
1990-05-14,355.18,0,0.34
1990-05-11,348.06,4,-2.0
1990-05-10,343.88,3,-1.2
1990-05-09,341.99,2,-0.55
1990-05-08,341.1,1,-0.26
1990-05-07,339.59,0,-0.44
1990-05-04,336.82,4,-0.82
1990-05-03,335.74,3,-0.32
1990-05-02,333.32,2,-0.72
1990-05-01,331.82,1,-0.45
1990-04-30,329.54,0,-0.69
1990-04-27,331.14,4,0.49
1990-04-26,332.22,3,0.33
1990-04-25,331.55,2,-0.2
1990-04-24,331.34,1,-0.06
1990-04-23,332.6,0,0.38
1990-04-20,335.96,4,1.01
1990-04-19,339.16,3,0.95
1990-04-18,342.72,2,1.05
1990-04-17,343.62,1,0.26
1990-04-16,345.7,0,0.61
1990-04-12,343.35,3,-0.68
1990-04-11,342.13,2,-0.36
1990-04-10,341.52,1,-0.18
1990-04-09,340.86,0,-0.19
1990-04-06,340.34,4,-0.15
1990-04-05,341.74,3,0.41
1990-04-04,342.26,2,0.15
1990-04-03,341.23,1,-0.3
1990-04-02,338.14,0,-0.91
1990-03-30,339.81,4,0.49
1990-03-29,340.92,3,0.33
1990-03-28,341.59,2,0.2
1990-03-27,339.26,1,-0.68
1990-03-26,338.48,0,-0.23
1990-03-23,336.64,4,-0.54
1990-03-22,336.7,3,0.02
1990-03-21,340.95,2,1.26
1990-03-20,342.68,1,0.51
1990-03-19,341.44,0,-0.36
1990-03-16,339.99,4,-0.42
1990-03-15,337.89,3,-0.62
1990-03-14,336.28,2,-0.48
1990-03-13,337.02,1,0.22
1990-03-12,337.61,0,0.18
1990-03-09,338.55,4,0.28
1990-03-08,338.8,3,0.07
1990-03-07,337.58,2,-0.36
1990-03-06,335.75,1,-0.54
1990-03-05,334.94,0,-0.24
1990-03-02,334.13,4,-0.24
1990-03-01,332.74,3,-0.42
1990-02-28,331.82,2,-0.28
1990-02-27,330.21,1,-0.49
1990-02-26,326.33,0,-1.18
1990-02-23,324.12,4,-0.68
1990-02-22,328.34,3,1.3
1990-02-21,326.32,2,-0.62
1990-02-20,329.49,1,0.97
1990-02-16,334.03,4,1.38
1990-02-15,333.41,3,-0.19
1990-02-14,331.92,2,-0.45
1990-02-13,329.76,1,-0.65
1990-02-12,331.8,0,0.62
1990-02-09,333.5,4,0.51
1990-02-08,334.04,3,0.16
1990-02-07,330.16,2,-1.16
1990-02-06,330.03,1,-0.04
1990-02-05,331.3,0,0.38
1990-02-02,330.1,4,-0.36
1990-02-01,328.81,3,-0.39
1990-01-31,326.03,2,-0.85
1990-01-30,322.78,1,-1.0
1990-01-29,324.55,0,0.55
1990-01-26,325.01,4,0.14
1990-01-25,328.83,3,1.18
1990-01-24,327.94,2,-0.27
1990-01-23,330.72,1,0.85
1990-01-22,335.12,0,1.33
1990-01-19,339.34,4,1.26
1990-01-18,336.18,3,-0.93
1990-01-17,339.14,2,0.88
1990-01-16,337.06,1,-0.61
1990-01-15,338.26,0,0.36
1990-01-12,344.01,4,1.7
1990-01-11,348.72,3,1.37
1990-01-10,346.97,2,-0.5
1990-01-09,351.89,1,1.42
1990-01-08,352.39,0,0.14
1990-01-05,353.51,4,0.32
1990-01-04,355.82,3,0.65
1990-01-03,359.24,2,0.96
1990-01-02,355.84,1,-0.95
