Date,Value,Day of week,Percent change
1981-12-31,122.5,3,
1981-12-30,122.08,2,-0.34
1981-12-29,122.01,1,-0.06
1981-12-28,122.54,0,0.43
1981-12-24,122.3,3,-0.2
1981-12-23,122.58,2,0.23
1981-12-22,123.18,1,0.49
1981-12-21,123.69,0,0.41
1981-12-18,123.72,4,0.02
1981-12-17,122.71,3,-0.82
1981-12-16,122.7,2,-0.01
1981-12-15,123.38,1,0.55
1981-12-14,123.27,0,-0.09
1981-12-11,125.3,4,1.65
1981-12-10,125.57,3,0.22
1981-12-09,125.08,2,-0.39
1981-12-08,124.64,1,-0.35
1981-12-07,125.79,0,0.92
1981-12-04,126.22,4,0.34
1981-12-03,124.76,3,-1.16
1981-12-02,125.3,2,0.43
1981-12-01,126.17,1,0.69
1981-11-30,125.58,0,-0.47
1981-11-27,124.64,4,-0.75
1981-11-25,124.18,2,-0.37
1981-11-24,122.12,1,-1.66
1981-11-23,121.94,0,-0.15
1981-11-20,121.36,4,-0.48
1981-11-19,120.54,3,-0.68
1981-11-18,120.74,2,0.17
1981-11-17,120.64,1,-0.08
1981-11-16,120.38,0,-0.22
1981-11-13,122.33,4,1.62
1981-11-12,123.45,3,0.92
1981-11-11,122.56,2,-0.72
1981-11-10,123.35,1,0.64
1981-11-09,122.86,0,-0.4
1981-11-06,122.94,4,0.07
1981-11-05,124.38,3,1.17
1981-11-04,124.82,2,0.35
1981-11-03,124.33,1,-0.39
1981-11-02,123.74,0,-0.47
1981-10-30,120.48,4,-2.63
1981-10-29,119.26,3,-1.01
1981-10-28,119.68,2,0.35
1981-10-27,119.12,1,-0.47
1981-10-26,117.9,0,-1.02
1981-10-23,118.82,4,0.78
1981-10-22,119.63,3,0.68
1981-10-21,124.24,2,3.85
1981-10-20,120.04,1,-3.38
1981-10-19,118.72,0,-1.1
1981-10-16,119.42,4,0.59
1981-10-15,119.28,3,-0.12
1981-10-14,119.68,2,0.34
1981-10-13,121.18,1,1.25
1981-10-12,121.27,0,0.07
1981-10-09,121.96,4,0.57
1981-10-08,121.66,3,-0.25
1981-10-07,120.48,2,-0.97
1981-10-06,119.74,1,-0.61
1981-10-05,120.08,0,0.28
1981-10-02,118.62,4,-1.22
1981-10-01,116.33,3,-1.93
1981-09-30,115.82,2,-0.44
1981-09-29,116.25,1,0.37
1981-09-28,113.01,0,-2.79
1981-09-25,113.16,4,0.13
1981-09-24,115.9,3,2.42
1981-09-23,115.14,2,-0.66
1981-09-22,117.06,1,1.67
1981-09-21,116.56,0,-0.43
1981-09-18,116.42,4,-0.12
1981-09-17,118.25,3,1.57
1981-09-16,118.94,2,0.58
1981-09-15,120.52,1,1.33
1981-09-14,120.84,0,0.27
1981-09-11,120.71,4,-0.11
1981-09-10,120.26,3,-0.37
1981-09-09,118.26,2,-1.66
1981-09-08,118.48,1,0.19
1981-09-04,120.39,4,1.61
1981-09-03,122.49,3,1.74
1981-09-02,123.56,2,0.87
1981-09-01,122.76,1,-0.65
1981-08-31,123.94,0,0.96
1981-08-28,123.97,4,0.02
1981-08-27,124.1,3,0.1
1981-08-26,125.08,2,0.79
1981-08-25,124.38,1,-0.56
1981-08-24,126.8,0,1.95
1981-08-21,129.88,4,2.43
1981-08-20,128.29,3,-1.22
1981-08-19,130.1,2,1.41
1981-08-18,130.43,1,0.25
1981-08-17,131.9,0,1.13
1981-08-14,133.12,4,0.92
1981-08-13,133.55,3,0.32
1981-08-12,133.95,2,0.3
1981-08-11,133.36,1,-0.44
1981-08-10,132.07,0,-0.97
1981-08-07,132.0,4,-0.05
1981-08-06,132.92,3,0.7
1981-08-05,132.07,2,-0.64
1981-08-04,130.65,1,-1.08
1981-08-03,130.58,0,-0.05
1981-07-31,130.69,4,0.08
1981-07-30,129.62,3,-0.82
1981-07-29,129.38,2,-0.19
1981-07-28,129.36,1,-0.02
1981-07-27,129.55,0,0.15
1981-07-24,128.21,4,-1.03
1981-07-23,127.11,3,-0.86
1981-07-22,128.21,2,0.87
1981-07-21,128.34,1,0.1
1981-07-20,129.29,0,0.74
1981-07-17,130.55,4,0.97
1981-07-16,130.36,3,-0.15
1981-07-15,130.24,2,-0.09
1981-07-14,129.46,1,-0.6
1981-07-13,129.8,0,0.26
1981-07-10,129.37,4,-0.33
1981-07-09,128.82,3,-0.43
1981-07-08,128.26,2,-0.43
1981-07-07,128.0,1,-0.2
1981-07-06,127.72,0,-0.22
1981-07-02,129.16,3,1.13
1981-07-01,130.36,2,0.93
1981-06-30,131.57,1,0.93
1981-06-29,132.35,0,0.59
1981-06-26,132.73,4,0.29
1981-06-25,133.04,3,0.23
1981-06-24,132.78,2,-0.2
1981-06-23,132.56,1,-0.17
1981-06-22,132.32,0,-0.18
1981-06-19,131.88,4,-0.33
1981-06-18,132.46,3,0.44
1981-06-17,132.39,2,-0.05
1981-06-16,132.76,1,0.28
1981-06-15,134.22,0,1.1
1981-06-12,133.74,4,-0.36
1981-06-11,132.93,3,-0.61
1981-06-10,132.26,2,-0.5
1981-06-09,132.12,1,-0.11
1981-06-08,132.49,0,0.28
1981-06-05,131.57,4,-0.69
1981-06-04,130.96,3,-0.46
1981-06-03,130.07,2,-0.68
1981-06-02,131.4,1,1.02
1981-06-01,133.06,0,1.26
1981-05-29,133.46,4,0.3
1981-05-28,133.46,3,0.0
1981-05-27,132.94,2,-0.39
1981-05-26,131.97,1,-0.73
1981-05-22,131.54,4,-0.33
1981-05-21,131.86,3,0.24
1981-05-20,131.81,2,-0.04
1981-05-19,132.0,1,0.14
1981-05-18,132.57,0,0.43
1981-05-15,131.98,4,-0.45
1981-05-14,131.03,3,-0.72
1981-05-13,130.74,2,-0.22
1981-05-12,129.98,1,-0.58
1981-05-11,130.67,0,0.53
1981-05-08,131.86,4,0.91
1981-05-07,131.31,3,-0.42
1981-05-06,131.24,2,-0.05
1981-05-05,130.13,1,-0.85
1981-05-04,130.7,0,0.44
1981-05-01,132.8,4,1.61
1981-04-30,133.14,3,0.26
1981-04-29,133.26,2,0.09
1981-04-28,134.6,1,1.01
1981-04-27,135.34,0,0.55
1981-04-24,134.44,4,-0.66
1981-04-23,134.4,3,-0.03
1981-04-22,134.13,2,-0.2
1981-04-21,134.94,1,0.6
1981-04-20,134.72,0,-0.16
1981-04-16,134.62,3,-0.07
1981-04-15,133.5,2,-0.83
1981-04-14,132.8,1,-0.52
1981-04-13,133.57,0,0.58
1981-04-10,134.7,4,0.85
1981-04-09,134.2,3,-0.37
1981-04-08,134.3,2,0.07
1981-04-07,134.12,1,-0.13
1981-04-06,134.12,0,0.0
1981-04-03,135.85,4,1.29
1981-04-02,136.44,3,0.43
1981-04-01,136.3,2,-0.1
1981-03-31,135.92,1,-0.28
1981-03-30,134.69,0,-0.9
1981-03-27,135.4,4,0.53
1981-03-26,136.83,3,1.06
1981-03-25,135.62,2,-0.88
1981-03-24,135.75,1,0.1
1981-03-23,134.95,0,-0.59
1981-03-20,133.94,4,-0.75
1981-03-19,133.87,3,-0.05
1981-03-18,134.23,2,0.27
1981-03-17,134.44,1,0.16
1981-03-16,134.25,0,-0.14
1981-03-13,133.96,4,-0.22
1981-03-12,131.66,3,-1.72
1981-03-11,129.96,2,-1.29
1981-03-10,131.18,1,0.94
1981-03-09,130.66,0,-0.4
1981-03-06,129.87,4,-0.6
1981-03-05,130.54,3,0.52
1981-03-04,130.82,2,0.21
1981-03-03,131.29,1,0.36
1981-03-02,131.56,0,0.21
1981-02-27,130.68,4,-0.67
1981-02-26,129.06,3,-1.24
1981-02-25,127.49,2,-1.22
1981-02-24,127.62,1,0.1
1981-02-23,126.98,0,-0.5
1981-02-20,126.16,4,-0.65
1981-02-19,127.52,3,1.08
1981-02-18,128.17,2,0.51
1981-02-17,127.59,1,-0.45
1981-02-13,127.19,4,-0.31
1981-02-12,127.86,3,0.53
1981-02-11,128.76,2,0.7
1981-02-10,129.12,1,0.28
1981-02-09,130.0,0,0.68
1981-02-06,130.42,4,0.32
1981-02-05,129.2,3,-0.94
1981-02-04,128.5,2,-0.54
1981-02-03,127.4,1,-0.86
1981-02-02,127.65,0,0.2
1981-01-30,130.13,4,1.94
1981-01-29,130.38,3,0.19
1981-01-28,131.01,2,0.48
1981-01-27,130.64,1,-0.28
