Date,Value,Day of week,Percent change
1981-01-26,129.88,0,-0.58
1981-01-23,130.17,4,0.22
1981-01-22,130.66,3,0.38
1981-01-21,131.2,2,0.41
1981-01-20,133.28,1,1.59
1981-01-19,134.68,0,1.05
1981-01-16,134.63,4,-0.04
1981-01-15,133.8,3,-0.62
1981-01-14,133.85,2,0.04
1981-01-13,132.98,1,-0.65
1981-01-12,134.33,0,1.02
1981-01-09,133.24,4,-0.81
1981-01-08,134.04,3,0.6
1981-01-07,134.16,2,0.09
1981-01-06,138.05,1,2.9
1981-01-05,137.55,0,-0.36
1981-01-02,135.39,4,-1.57
